,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Pretax Income,-0,0.36,1.61,1.13,-60.45,-10.99,-7.72,-14.36,-8.56,-20.16,-31,-117.89,-46.96,-43.78,-44.18,-36.54,-33.67,-29.58,-26.09,-26.13
Income Tax,0,0.08,0.34,0.23,-0.46,0.14,0.14,-0.27,-0,0.11,0.11,0.11,-0.32,0,0,0,0.03,0,0,0
Net Income,-0,0.28,1.26,0.9,-59.98,-11.13,-7.86,-14.09,-8.55,-20.27,-31.11,-117.99,-46.64,-43.78,-44.18,-36.54,-33.7,-29.58,-26.09,-26.13
Preferred Dividends,0,0,0,0,42.89,7.85,7.85,7.85,7.85,8.04,8.04,2.01,0,0,0,0,0,0,0,0
Net Income Common,-0,0.28,1.26,0.9,-117.92,-22.94,-19.67,-21.94,-16.41,-28.31,-39.15,-120,-46.64,-43.78,-44.18,-36.54,-33.7,-29.58,-26.09,-26.13
Shares Outstanding (Basic),6,7,8,8,99,1,1,99,99,99,99,244,186,299,301,306,308,308,308,313
Shares Outstanding (Diluted),6,7,8,8,99,1,1,99,99,99,99,244,186,299,301,306,308,308,308,313
Shares Change,-,-,-,-,1471.88%,-90.89%,-92.56%,1096.82%,-,15927.11%,15927.11%,146.25%,87.72%,201.78%,203.51%,25.47%,65.50%,2.97%,2.39%,2.33%
EPS (Basic),-,-,-0.02,-0.02,-1.13,-37.13,-31.84,-0.22,-0.17,-0.29,-0.40,-0.49,0.01,-0.15,-0.15,-0.12,-0.11,-0.10,-0.08,-0.08
EPS (Diluted),-,-,-0.02,-0.02,-1.13,-37.13,-31.84,-0.22,-0.17,-0.29,-0.40,-0.49,0.01,-0.15,-0.15,-0.12,-0.11,-0.10,-0.08,-0.08
Free Cash Flow,-0.34,-0.03,-0.25,-0.84,-5.75,-8.92,-2.79,2.13,6.49,-27.6,-17.28,-20.49,-67.53,-65.97,-65.47,-11.87,-61.49,-46.75,-87.24,-89.06
Free Cash Flow Per Share,-0.05,-0.00,-0.03,-0.10,-0.06,-14.43,-4.51,0.02,0.07,-0.28,-0.17,-0.08,-0.36,-0.22,-0.22,-0.04,-0.20,-0.15,-0.28,-0.28
Gross Margin,-,-,-,-,-0.30%,17.53%,16.38%,11.96%,18.06%,-8.28%,-20.30%,-97.27%,1.73%,0.04%,7.52%,5.16%,3.44%,10.34%,15.29%,22.32%
Operating Margin,-,-,-,-,-69.78%,-141.32%,-29.88%,-29.58%,-7.70%,-72.53%,-66.94%,-307.09%,-71.28%,-117.97%,-69.82%,-96.05%,-53.44%,-66.63%,-35.84%,-32.89%
Profit Margin,-,-,-,-,-154.28%,-330.15%,-90.66%,-71.36%,-34.10%,-189.54%,-117.31%,-325.26%,-69.85%,-119.38%,-68.59%,-94.63%,-52.01%,-62.97%,-34.81%,-32.62%
Free Cash Flow Margin,-,-,-,-,-7.52%,-128.31%,-12.84%,6.93%,13.50%,-184.78%,-51.78%,-55.53%,-101.14%,-179.92%,-101.65%,-30.73%,-94.89%,-99.52%,-116.40%,-111.16%
Effective Tax Rate,-,21.00%,21.36%,20.49%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBITDA,-0,0.36,1.61,1.13,-38.71,-5.58,-2.73,-8.61,-2.18,-13.44,-24.48,-111.59,-40.37,-36.97,-37.53,-30.3,-27.47,-23.37,-19.7,-19.96
EBITDA Margin,-,-,-,-,-50.64%,-80.34%,-12.59%,-28.00%,-4.52%,-89.97%,-73.37%,-302.47%,-60.45%,-100.82%,-58.26%,-78.46%,-42.40%,-49.75%,-26.28%,-24.91%
Depreciation & Amortization,0,0,0,0,15.39,3.93,3.63,4.35,4.88,4.88,4.98,5.05,5.82,6.01,5.76,5.47,5.34,5.76,5.91,5.68
EBIT,-0,0.36,1.61,1.13,-54.09,-9.51,-6.36,-12.96,-7.05,-18.32,-29.46,-116.64,-46.18,-42.98,-43.29,-35.77,-32.81,-29.12,-25.6,-25.64
EBIT Margin,-,-,-,-,-70.77%,-136.85%,-29.33%,-42.16%,-14.66%,-122.61%,-88.27%,-316.15%,-69.16%,-117.21%,-67.20%,-92.63%,-50.63%,-62.00%,-34.16%,-32.00%
