,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Pretax Income,210.2,239.7,187.1,165.6,244.7,142.7,-428.6,91.4,192,-161.3,84.5,146.7,388.8,247.2,61.9,242,352.7,375,201.8,207.6,330.2,400.1,185,205.9,197.7,"-1,116",202.3,143,327.5,408.9,240.9,41.7,510.6,421,53.6,"-2,122.9",269.3,90.6,-16.7
Income Tax,76.9,85.8,62,55.8,88.3,26.9,24.9,34.5,99.7,-69.3,3.6,43.6,60.7,51.1,"-1,073.2",18.8,84.5,95.4,62.7,47.2,77.6,89.3,46.5,57.8,19.2,40,50.3,30.5,77.4,85.2,58.6,1.8,132.7,76.5,8.3,-116.8,67.3,-19.2,5.7
Net Income,133.3,153.9,125.1,109.8,156.4,115.8,-453.5,56.9,92.3,-92,80.9,103.1,328.1,196.1,"1,135",223.2,268.2,279.6,139.1,160.4,252.6,310.8,138.5,148.1,178.5,"-1,156",152,112.5,250.1,323.7,182.3,39.9,377.9,344.5,45.3,"-2,006.1",202,109.8,-22.4
Net Income Growth,-,-,-,-,17.33%,-24.76%,-,-48.18%,-40.98%,-,-,81.20%,255.47%,-,1303.09%,116.49%,-18.26%,42.58%,-87.75%,-28.14%,-5.82%,11.16%,-0.43%,-7.67%,-29.33%,-,9.75%,-24.04%,40.11%,-,19.93%,-64.53%,51.10%,6.43%,-75.15%,-,-46.55%,-68.13%,-
Shares Outstanding (Basic),-,-,-,-,262,262,257,254,253,251,251,251,252,254,255,256,256,255,255,257,257,257,258,259,259,260,263,265,267,267,265,263,256,254,255,256,256,256,257
Shares Outstanding (Diluted),-,-,-,-,-,-,-,-,-,-,255,255,255,-,259,260,261,-,260,259,259,-,260,260,260,-,265,267,269,-,267,265,257,-,257,256,257,-,257
Shares Change,-,-,-,-,-,-,-,-,-3.53%,-3.95%,-0.71%,0.30%,1.07%,1.00%,1.53%,2.24%,2.08%,0.44%,0.12%,-0.35%,-0.77%,0.87%,0.15%,0.31%,0.70%,0.89%,1.89%,2.61%,3.30%,2.84%,0.79%,-0.64%,-4.31%,-4.76%,-3.82%,-3.66%,-0.16%,0.78%,0.12%
EPS (Basic),0.93,1.07,0.89,0.78,1.11,0.19,-1.76,0.22,0.37,-0.37,0.32,0.41,1.30,0.77,4.45,0.87,1.05,1.10,0.55,0.63,0.98,1.21,0.54,0.57,0.69,-4.47,0.58,0.42,0.94,1.22,0.69,0.15,1.48,1.34,0.18,-7.85,0.79,0.44,-0.09
EPS (Diluted),0.91,1.06,0.88,0.77,1.10,0.19,-1.73,0.22,0.36,-0.36,0.32,0.40,1.29,0.76,4.38,0.86,1.03,1.09,0.54,0.62,0.98,1.20,0.53,0.57,0.69,-4.46,0.57,0.42,0.93,1.20,0.68,0.15,1.47,1.33,0.18,-7.85,0.79,0.44,-0.09
EPS Growth,-,-,-,-,20.88%,-82.08%,-,-71.43%,-67.27%,-,-,81.82%,258.33%,-,1268.75%,115.00%,-20.16%,43.42%,-87.67%,-27.91%,-4.85%,10.09%,-1.85%,-8.06%,-29.59%,-,7.55%,-26.32%,34.78%,-,19.30%,-64.29%,58.06%,10.83%,-73.53%,-,-46.26%,-66.92%,-
Free Cash Flow,-,248.9,209,115,156.5,166.4,327.6,38.7,336.7,219.9,346,135.4,428.8,-168.9,44.9,22.6,431.2,463.8,69.1,84.6,393.9,538.1,65.7,-60.4,498.4,630.4,550.7,61.2,549.6,312.4,103.8,209.5,624.6,249.8,-11.8,16.8,442,265.6,36
Free Cash Flow Per Share,-,-,-,-,0.60,0.64,1.27,0.15,1.33,0.87,1.38,0.54,1.70,-0.67,0.18,0.09,1.68,1.82,0.27,0.33,1.53,2.09,0.25,-0.23,1.92,2.43,2.10,0.23,2.06,1.17,0.39,0.80,2.44,0.98,-0.05,0.07,1.73,1.04,0.14
Dividend Per Share,-,-,-,-,-,0.375,0.375,0.375,0.375,0.375,0.400,0.400,0.400,0.400,0.430,0.430,0.430,0.430,0.455,0.455,0.455,0.455,0.465,0.465,0.200,0.200,0.200,0.200,0.240,0.240,0.250,0.250,0.250,0.250,0.275,0.275,0.275,0.275,0.302
Dividend Growth,-,-,-,-,-,-,-,-,-,0%,6.67%,6.67%,6.67%,6.67%,7.50%,7.50%,7.50%,7.50%,5.81%,5.81%,5.81%,5.81%,2.20%,2.20%,-56.04%,-56.04%,-56.99%,-56.99%,20.00%,20.00%,25.00%,25.00%,4.17%,4.17%,10.00%,10.00%,10.00%,10.00%,9.82%
Gross Margin,19.34%,21.82%,18.67%,18.61%,20.73%,18.95%,18.86%,18.82%,20.22%,19.92%,17.15%,18.47%,18.82%,18.62%,19.86%,19.65%,20.96%,22.00%,18.07%,19.47%,21.09%,23.19%,18.29%,18.10%,18.18%,18.19%,17.11%,16.89%,19.31%,19.50%,16.09%,18.65%,21.00%,19.61%,15.56%,17.44%,19.95%,17.59%,16.42%
Operating Margin,9.13%,9.99%,8.29%,7.63%,10.51%,5.25%,2.98%,4.31%,8.05%,-3.13%,3.52%,5.11%,6.32%,5.94%,2.44%,7.07%,9.31%,9.98%,6.41%,6.61%,8.99%,10.54%,5.71%,6.17%,6.41%,-23.59%,5.29%,4.44%,7.94%,9.21%,5.46%,1.05%,9.80%,8.48%,3.42%,-37.78%,7.00%,-0.89%,1.82%
Profit Margin,5.27%,5.90%,4.98%,4.47%,6.16%,3.20%,-13.07%,1.63%,2.57%,-2.55%,2.35%,2.82%,8.88%,4.83%,29.15%,5.56%,6.48%,6.60%,3.21%,3.47%,5.39%,6.68%,3.13%,3.33%,4.21%,-25.85%,3.45%,2.54%,5.19%,6.36%,3.68%,0.74%,6.85%,6.38%,0.92%,-38.01%,3.94%,2.20%,-0.48%
Free Cash Flow Margin,-,9.54%,8.31%,4.68%,6.16%,4.60%,9.44%,1.11%,9.36%,6.09%,10.04%,3.70%,11.60%,-4.16%,1.15%,0.56%,10.42%,10.95%,1.60%,1.83%,8.40%,11.57%,1.49%,-1.36%,11.76%,14.10%,12.51%,1.38%,11.41%,6.14%,2.10%,3.89%,11.32%,4.62%,-0.24%,0.32%,8.63%,5.32%,0.78%
Effective Tax Rate,36.58%,35.79%,33.14%,33.70%,36.09%,18.85%,-,37.75%,51.93%,-,4.26%,29.72%,15.61%,20.67%,-1733.76%,7.77%,23.96%,25.44%,31.07%,22.74%,23.50%,22.32%,25.14%,28.07%,9.71%,-,24.86%,21.33%,23.63%,20.84%,24.33%,4.32%,25.99%,18.17%,15.49%,-,24.99%,-21.19%,-
EBITDA,-,415.1,362.2,341.3,422.3,487.6,-69.1,446.6,538.2,132.2,413.8,463.5,720.1,604.4,432.9,636.6,744.8,763.3,655.3,703.1,826.6,897.2,659.7,677.7,655.8,-640.1,660.6,587.9,799,866.5,694.1,487.8,966.4,873.3,524.1,"-1,618.7",759.9,579,466.5
EBITDA Margin,-,15.92%,14.41%,13.90%,16.63%,13.48%,-1.99%,12.79%,14.96%,3.66%,12.00%,12.68%,19.49%,14.88%,11.12%,15.85%,18.00%,18.02%,15.14%,15.22%,17.62%,19.29%,14.91%,15.24%,15.48%,-14.32%,15.01%,13.25%,16.59%,17.02%,14.02%,9.06%,17.51%,16.16%,10.65%,-30.67%,14.84%,11.61%,10.10%
Depreciation & Amortization,-,151.2,151.8,152.7,155,281.3,294.3,291.2,282.2,274.2,275.2,263.9,275.2,297.8,306.2,316.3,315.4,314.3,359.1,383.7,385.3,383.1,381.2,374.5,365.7,365.6,364.5,361.4,369,365.1,366.5,373.6,377.3,371.2,373.2,395.8,382.5,384.3,381.8
EBIT,234.1,263.9,210.4,188.6,267.3,206.3,-363.4,155.4,256,-142,138.6,199.6,444.9,306.6,126.7,320.3,429.4,449,296.2,319.4,441.3,514.1,278.5,303.2,290.1,"-1,005.7",296.1,226.5,430,501.4,327.6,114.2,589.1,502.1,150.9,"-2,014.5",377.4,194.7,84.7
EBIT Margin,9.25%,10.12%,8.37%,7.68%,10.53%,5.71%,-10.47%,4.45%,7.12%,-3.93%,4.02%,5.46%,12.04%,7.55%,3.25%,7.97%,10.38%,10.60%,6.84%,6.91%,9.41%,11.05%,6.30%,6.82%,6.85%,-22.49%,6.73%,5.10%,8.93%,9.85%,6.62%,2.12%,10.67%,9.29%,3.07%,-38.17%,7.37%,3.90%,1.83%
