,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Investing Cash Flow,-227.3,-123.2,-99.5,-108.9,48.9,-503.4,-312.7,-363.5,-171.8,-160.5,-196.5,-571,59.3,-190.6,-250.5,-102.7,-271.3,"-3,572.8",-277.8,-350.1,-378.9,-360.9,-228.4,-236.1,-96.1,-140.4,-54.8,-190.3,-290.5,-154.8,-151.8,-207.6,-261.8,"-1,080.2",-263.3,-178.5,14.8,625.4
Dividends Paid,-25.1,-26.3,-45.1,-45.2,-97.9,-96.4,-95.2,-94.7,-94.4,-100.4,-100.7,-100.5,-101.6,-109.6,-109.8,-110.3,-111.2,-116.1,-117.6,-117,-117.2,-120,-120.7,-51.9,-51.9,-52.6,-53.2,-64,-64,-66.3,-65.8,-63.8,-63.6,-70,-70.3,-70.5,-70.5,-77.6
Share Issuance / Repurchase,-160.6,-6.9,-28.6,2.2,-990.5,-88.9,-160.7,-39.3,-34.6,-58.8,-27,15.1,13.5,11.4,6,-95,-90.9,-31.3,-54.1,5.4,9.7,15.5,-2.1,3.3,5.5,-12.4,12.6,14.5,-137.1,-93.9,-225.5,-278.9,-1.7,0,-18.7,2.3,14,0
Debt Issued / Paid,0.4,-174.1,-53,-110.5,870.5,179.4,464.8,-21.1,-5.8,-12.1,-89.2,-76.3,8.5,67,130.7,-168.7,-149.1,"3,053",-28.9,-243,-518.3,52,681,-790.8,-616.1,-502.1,27.3,-302.3,-464.2,48.1,100.2,-343.6,-257.4,"1,051",12.8,-502.6,-460,-724.9
Other Financing Activities,3,-1.1,15.2,1.7,-28.4,-3.9,-12.8,-122.4,-5,-19.3,-2.2,-20.2,15.8,-14.3,-43.7,17.1,15.3,-8.6,8.8,-10.7,66.5,-8.8,10.2,-19.8,-6.5,-17,12.8,-4.9,26.2,7.8,7.6,8.3,7.2,2,0.9,-0.6,-13.2,-1.5
Financing Cash Flow,-182.3,-208.4,-111.5,-151.8,-246.3,-9.8,196.1,-277.5,-139.8,-190.6,-219.1,-181.9,-63.8,-45.5,-16.8,-356.9,-335.9,"2,897",-191.8,-365.3,-559.3,-61.3,568.4,-859.2,-669,-584.1,-0.5,-356.7,-639.1,-104.3,-183.5,-678,-315.5,982.9,-75.3,-571.4,-529.7,-804
Exchange Rate Effect,-0.5,-0.6,-0.5,-1.6,-4.5,-1.2,-4.9,0.5,12.2,-13.9,7.9,3.7,0.2,-1,-0.9,-22.1,-4.2,-3,1.2,5.7,0.1,-4.2,-23.8,6.4,-7,7.8,3.3,12,-6.8,6.7,14.3,-6.6,-8.2,-5.7,3.7,10.3,-2.3,-1.7
Net Cash Flow,-7.4,0.2,6.9,3.5,185.1,8.6,130.7,-108.9,82.2,152.4,-108,-160.1,53.3,8.3,-39.9,180.2,184.2,-376.1,-106.5,24.9,-27.5,4.8,483.8,-348.7,-40.4,2.7,80.2,215.8,-258.9,0.4,68.9,-54.8,-45.2,155,-51.8,-48.6,78.6,94.7
Free Cash Flow,248.9,209,115,156.5,166.4,327.6,38.7,336.7,219.9,346,135.4,428.8,-168.9,44.9,22.6,431.2,463.8,69.1,84.6,393.9,538.1,65.7,-60.4,498.4,630.4,550.7,61.2,549.6,312.4,103.8,209.5,624.6,249.8,-11.8,16.8,442,265.6,36
Free Cash Flow Growth,-,-,-,-,-33.15%,56.75%,-66.35%,115.14%,32.15%,5.62%,249.87%,27.35%,-,-87.02%,-83.31%,0.56%,-,53.90%,274.34%,-8.65%,16.02%,-4.92%,-,26.53%,17.15%,738.20%,-,10.27%,-50.44%,-81.15%,242.32%,13.65%,-20.04%,-,-91.98%,-29.23%,6.33%,-
Free Cash Flow Margin,9.54%,8.31%,4.68%,6.16%,4.60%,9.44%,1.11%,9.36%,6.09%,10.04%,3.70%,11.60%,-4.16%,1.15%,0.56%,10.42%,10.95%,1.60%,1.83%,8.40%,11.57%,1.49%,-1.36%,11.76%,14.10%,12.51%,1.38%,11.41%,6.14%,2.10%,3.89%,11.32%,4.62%,-0.24%,0.32%,8.63%,5.32%,0.78%
Free Cash Flow Per Share,-,-,-,0.60,0.64,1.27,0.15,1.33,0.87,1.38,0.54,1.70,-0.67,0.18,0.09,1.68,1.82,0.27,0.33,1.53,2.09,0.25,-0.23,1.92,2.43,2.10,0.23,2.06,1.17,0.39,0.80,2.44,0.98,-0.05,0.07,1.73,1.04,0.14
