,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Investing Cash Flow,-4,-12.32,-0.97,-3.43,-6.63,-5.4,-6.12,-5.15,-114.43,-5.88,8.32,-23.44,12.39,17.24,8.19,24.02,-45.65,-181.8,-16.73,-41.22,-22,-25.95,-160.3,-280.12,6.09,16.64,18.91,-53.02,-181.01,100.81,"-1,454.66",-23.11,-10.16,-16.32,-3.46,-0.09,-36.1,-6.62,-11.27
Share Issuance / Repurchase,5.76,36.27,0.56,0.37,1.19,200.34,0.23,1.34,1.22,1.67,4.91,2.76,0.6,5.78,15.56,1.6,-58.34,-20.6,4.85,-42.31,-21.56,1.91,-126.2,-21.34,-20.1,7.28,-159.86,-70.66,3.93,-175.89,-51.6,-56.51,-59.17,-60.1,-147.82,-143.61,-145.18,-36.11,-294.26
Debt Issued / Paid,-0.32,-0.34,-0.39,-0.43,-0.5,-0.75,-1.01,-1.12,-1.36,-1.46,-1.57,-1.7,-1.84,-3.13,-5.2,-3.51,330.9,-4.35,-4.08,-3.66,-3.94,-2.93,637.55,-3.42,-2.58,-2.36,500.96,-2.92,-29.77,968.46,-2.73,-2.03,-1.63,-1.62,-1.57,-1.56,-3.67,-1.76,-1.6
Other Financing Activities,-0.08,-,-0.44,4.28,0.99,-2.1,0.66,-3.61,-0.65,-0.18,-0.45,-3.72,-0.8,-1.23,-2.87,1.6,-38.73,-2.37,-6.28,-11.03,-3.81,-10.28,-82.55,-3.83,-10,-10.75,-82.02,-27.71,-13.54,-127.88,-12.82,-46.88,-11.48,-32.64,-6.38,-38.9,-9.71,-39.83,-8.73
Financing Cash Flow,5.36,35.93,-0.28,4.22,1.68,197.49,-0.12,-3.38,-0.78,0.04,2.89,-2.67,-2.03,1.41,7.49,-0.32,233.84,-27.32,-5.51,-57,-29.31,-11.3,428.79,-28.58,-32.68,-5.83,259.08,-101.29,-39.38,664.69,-67.14,-105.42,-72.28,-94.36,-155.77,-184.07,-158.55,-77.69,-304.59
Exchange Rate Effect,0.12,-0.35,-1.08,-2.43,-2.87,0.59,-1.01,-0.66,-0.48,-1.82,-0.93,1.56,-0.46,1.29,0.85,-5.33,4.06,-7.51,-2.97,0.42,-1.46,0.9,-2.93,1.64,-4.02,3.93,4.27,9.77,-8.5,3.01,-3.61,-1.14,-1.07,-12.44,-16.22,23.7,4.53,2.76,-7.54
Net Cash Flow,7.66,24,2.75,-1.54,1.08,197.42,-1.87,4.96,-112.86,9.1,20.55,-6.44,13.22,32.08,33.4,55.15,218.41,-176.04,4.91,4.26,-21.31,13.49,312.61,-228.48,-0.94,235.17,467.45,99.13,-80.42,890.2,"-1,434.48",160.79,-23.96,2.64,31.12,131.29,-134.48,54.72,-104.9
Free Cash Flow,3.38,-1.29,3,-2.58,4.62,-0.65,-1.81,10.17,-10.22,-2.09,-0.44,12.96,-3.35,8.6,15.16,35.54,22.88,35.43,24.45,95.61,27.39,45.49,43.33,75.43,27.84,220.01,183.37,240.63,144.71,116.45,80.81,281.41,50.33,117.77,192.1,292.67,47.43,128.02,207.62
Free Cash Flow Growth,-,-,-,-,36.62%,-,-,-,-,-,-,27.46%,-,-,-,174.25%,-,312.08%,61.31%,169.04%,19.69%,28.40%,77.23%,-21.10%,1.65%,383.61%,323.20%,218.99%,419.88%,-47.07%,-55.93%,16.95%,-65.22%,1.14%,137.72%,4.00%,-5.77%,8.70%,8.08%
Free Cash Flow Margin,8.33%,-3.04%,6.30%,-3.98%,7.88%,-1.06%,-2.76%,11.57%,-12.48%,-2.45%,-0.50%,11.76%,-3.45%,8.45%,14.25%,26.08%,18.92%,26.76%,16.26%,47.80%,16.17%,25.12%,21.89%,27.94%,12.21%,51.32%,40.62%,38.98%,26.28%,22.02%,15.18%,39.24%,8.69%,20.13%,32.31%,36.26%,7.40%,20.36%,32.63%
Free Cash Flow Per Share,0.10,-0.03,0.07,-0.06,0.11,-0.01,-0.02,0.11,-0.09,-0.02,-0.00,0.11,-0.03,0.07,0.13,0.29,0.19,0.30,0.20,0.80,0.23,0.38,0.36,0.64,0.24,1.85,1.50,1.91,1.15,0.92,0.64,2.19,0.40,0.93,1.52,2.32,0.38,1.04,1.70
