,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Free Cash Flow Per Share,-,-0.26,0.58,0.66,1.12,-0.00,0.54,1.02,0.04,0.15,0.56,0.58,0.90,-0.30,-0.04,0.83,1.18,0.06,0.37,1.13,0.99
Dividend Per Share,-,-,-,-,-,-,0.080,-,0.200,-,0.240,-,0.270,-,0.300,-,0.335,-,0.370,-,0.185
Dividend Growth,-,-,-,-,-,-,-,-,-,-,200.00%,-,35.00%,-,25.00%,-,24.07%,-,23.33%,-,-44.78%
Gross Margin,-,28.36%,29.71%,29.99%,28.28%,28.86%,28.73%,31.21%,27.97%,29.67%,29.76%,29.98%,26.61%,27.78%,27.77%,27.10%,24.43%,26.13%,29.29%,31.69%,28.11%
Operating Margin,-,10.29%,13.93%,13.31%,10.64%,8.54%,10.32%,15.59%,7.58%,11.28%,12.52%,13.67%,8.10%,12.18%,13.64%,13.03%,8.33%,9.82%,13.68%,14.45%,5.94%
Profit Margin,-,9.25%,15.80%,10.20%,9.78%,2.47%,6.57%,14.81%,19.24%,8.17%,8.95%,8.78%,6.31%,29.63%,11.00%,24.07%,5.29%,7.07%,3.32%,6.23%,8.23%
Free Cash Flow Margin,-,-5.18%,10.20%,11.78%,21.55%,-0.03%,11.66%,17.59%,0.83%,2.79%,8.86%,9.46%,15.10%,-5.54%,-0.65%,12.82%,19.26%,0.95%,5.17%,16.56%,16.25%
Effective Tax Rate,-,25.93%,7.66%,26.24%,23.74%,66.78%,28.88%,26.05%,24.64%,21.31%,32.45%,38.04%,18.39%,17.92%,22.88%,9.52%,26.83%,24.65%,48.71%,37.37%,22.22%
EBITDA,-,621,915,748,657,407,526,"1,172","1,350",664,877,914,552,"1,807",880,"1,608",546,677,592,755,722
EBITDA Margin,-,14.37%,18.44%,15.51%,14.60%,10.47%,13.24%,23.43%,29.39%,14.13%,16.12%,17.11%,10.75%,38.83%,16.89%,29.50%,10.70%,12.84%,9.88%,13.17%,14.15%
Depreciation & Amortization,-,85,82,84,84,81,78,82,95,83,85,83,87,79,76,102,123,136,137,134,135
EBIT,-,536,833,664,573,326,448,"1,090","1,255",581,792,831,465,"1,728",804,"1,506",423,541,455,621,587
EBIT Margin,-,12.40%,16.79%,13.77%,12.73%,8.38%,11.28%,21.79%,27.32%,12.36%,14.56%,15.56%,9.06%,37.13%,15.43%,27.63%,8.29%,10.26%,7.59%,10.84%,11.51%
