,2010-06-30,2010-09-30,2011-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
profitLoss,44005000,132371000,-7358000,55817000,56280000,67395000,65105000,81552000,90446000,87866000,74170000,67937000,76655000,84027000,86123000,90355000,16177000,114255000,95533000,110894000,99112000,141673000,129441000,141683000,160622000,154668000,118871000,155691000,169832000,152493000,314775000,196278000,217246000,228701000,196000000,202000000,145000000,349000000,305000000,319000000,-6000000,82000000,50000000,105000000,317000000,208000000,164000000,199000000,239000000,265000000,229000000,304000000,352000000,414000000
cashflowFromInvestment,-2941000,-70774000,-1365188000,234600000,27729000,-294169000,-88515000,-754106000,-7559000,-26112000,-3543000,-10640000,-480658000,-7601000,-271989000,-40356000,-8597000,-8696000,-8138000,-738061000,-587598000,-345352000,-10172000,-156522000,-1006319000,-270033000,-51809000,-95508000,-123556000,-16130000,-15290000,-8228000,-551155000,-109327000,-53000000,-3560000000,-424000000,148000000,877000000,-23000000,-12000000,-43000000,-29000000,-923000000,204000000,-37000000,-25000000,-29000000,-451000000,-48000000,-41000000,-35000000,-776000000,-48000000
cashflowFromFinancing,2549000,4456000,1303236000,-30574000,1625000,4234000,4533000,498582000,16400000,7671000,19196000,37223000,-19000,99795000,2312000,344000,133075000,-91758000,12249000,126922000,919078000,-3302000,-75930000,-144414000,1863639000,3540000,-784717000,-56883000,-61014000,-541068000,-70987000,-1021000,1161562000,-3554000,-10000000,3925000000,-3000000,-1641000000,1414000000,-1662000000,1493000000,-15000000,-60000000,-13000000,-1000000,4000000,-225000000,-647000000,-244000000,-1032000000,-65000000,1133000000,-1079000000,-5000000
proceedsFromRepaymentsOfShortTermDebt,None,None,None,None,None,None,None,None,-5522000,-5125000,None,None,None,0,None,None,None,772027000,None,None,None,-79559000,None,None,None,0,0,None,None,0,None,0,0,0,None,None,None,0,None,0,0,0,0,0,0,0,-200000000,0,0,0,0,None,0,0
paymentsForRepurchaseOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,87450000,None,None,None,0,None,None,None,0,0,None,None,0,None,0,0,0,None,None,None,0,None,None,None,0,None,0,0,0,None,0,245000000,0,0,0,0,0
paymentsForRepurchaseOfEquity,None,None,None,None,None,None,846000,0,0,0,None,None,None,0,None,None,None,87450000,None,None,None,0,None,None,None,0,0,None,None,0,None,0,0,0,None,None,None,0,None,None,None,0,None,0,0,0,None,0,245000000,0,0,None,0,0
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayout,0,0,2810000,0,1000,0,3299000,0,0,0,702406000,0,0,1288944000,4139000,5486000,1435668000,6098000,3365000,0,0,0,3000000,0,0,0,1375998000,0,36000,1205518000,56148000,0,0,-148000,24000000,0,0,1688000000,64000000,1864000000,0,0,73000000,0,0,0,46000000,0,0,1045000000,38000000,0,0,0
dividendPayoutCommonStock,404868000,404868000,3299000,None,1000,None,3299000,None,3299000,13784000,702406000,702406000,702406000,1288944000,4139000,5486000,1435668000,6098000,3365000,3365000,3365000,6730000,3000000,3000000,3000000,219787000,1375998000,1375998000,36000,1205518000,56148000,56148000,56148000,24309000,24309000,24309000,24309000,1687910000,64000000,1864000000,1928000000,1992000000,73000000,73000000,73000000,73000000,46000000,46000000,46000000,1045000000,38000000,38000000,38000000,38000000
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,None,None,None,None,None,-133000,0,0,-397000,0,None,None,None,331074000,None,None,None,0,None,None,None,0,None,None,None,771580000,1132774000,None,None,1805018000,None,-822000,11986730000,-78000,None,None,None,0,None,None,None,-2625000000,None,0,743000000,0,None,None,None,0,0,None,0,-2068000000
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromRepurchaseOfEquity,1400000,3068000,2980000,3239000,1526000,1463000,2657000,3813000,5622000,2772000,5541000,7378000,1927000,6688000,2893000,6529000,-67175000,-75361000,7391000,31731000,13860000,8692000,-61883000,-133488000,12936000,4792000,3648000,-331136000,-44287000,3131000,7290000,19015000,14316000,16962000,14174000,32952000,17153000,17596000,20000000,30000000,20000000,27000000,32000000,37000000,37000000,22000000,40000000,-627000000,-226000000,33000000,27000000,92000000,0,36000000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,71040000,-24277000,196000,271029000,43914000,-173068000,-16283000,-158419000,101237000,137806000,113907000,125593000,-410852000,295568000,-153816000,64767000,253443000,90414000,192081000,-619110000,522831000,-201317000,91258000,-193276000,1054680000,-79701000,-614634000,13029000,-14833000,-319995000,207301000,153145000,842366000,219188000,264000000,492000000,144610000,-1724459000,2727000000,319000000,-6000000,168000000,190000000,105000000,317000000,268000000,26000000,-586000000,-386000000,-807000000,271000000,1228000000,-1449000000,None
changeInExchangeRate,None,None,None,None,None,-476000,-395000,237000,-465000,185000,139000,-164000,79000,204000,154000,-2000,-76000,-825000,-989000,-1928000,840000,-174000,-1309000,-551000,2064000,38000,-3899000,711000,5021000,3686000,767000,1521000,-5267000,979000,-3000000,4000000,0,-4000000,3000000,-2000000,3000000,4000000,5000000,3000000,2000000,2000000,-3000000,None,None,None,None,None,None,None
netIncome,44005000,50635000,-7358000,55817000,56280000,67395000,65105000,81552000,90446000,87866000,74170000,67937000,76655000,84027000,86123000,90355000,16177000,114255000,95533000,110894000,99112000,141673000,129441000,141683000,160622000,154668000,118871000,155505000,169053000,153458000,314775000,196278000,217246000,228701000,196000000,202000000,145000000,347000000,304000000,319000000,-6000000,82000000,50000000,104000000,317000000,209000000,163000000,199000000,238000000,266000000,228000000,304000000,351000000,415000000
freeCashflow,68491000.0,39025000.0,59161000.0,61604000.0,10057000.0,111538000.0,63391000.0,92462000.0,85761000.0,147025000.0,89438000.0,91535000.0,62429000.0,191268000.0,107610000.0,114782000.0,39773000.0,381749000.0,374048000.0,122924000.0,118574000.0,287793000.0,300726000.0,129541000.0,152929000.0,428577000.0,374477000.0,139062000.0,152597000.0,-228869000.0,550293000.0,186246000.0,198178000.0,-316198000.0,306195000.0,103401000.0,277983000.0,225830000.0,406000000.0,138000000.0,385000000.0,179000000.0,243000000.0,69000000.0,232000000.0,264000000.0,254000000.0,55000000.0,280000000.0,240000000.0,346000000.0,95000000.0,370000000.0,425000000.0
