,2016-12-31,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Shares Change,-,-,-,-,9.11%,24.62%,402.53%,399.21%,399.03%,313.27%,7.36%,15.74%,19.42%,18.13%,21.81%,13.12%,9.87%,8.84%,-0.93%,-2.78%,-5.07%,-5.57%,-4.93%,-9.07%,-7.52%
EPS (Basic),-,-0.63,-1.16,-1.43,-1.32,-1.04,-0.40,-0.41,-0.37,-0.36,-0.35,-0.31,-0.59,-0.70,3.05,6.93,8.27,12.06,9.09,5.55,2.67,3.85,0.20,-3.62,-9.53
EPS (Diluted),-,-0.63,-1.16,-1.43,-1.32,-1.04,-0.40,-0.41,-0.37,-0.36,-0.35,-0.31,-0.59,-0.70,2.84,6.46,7.70,11.29,8.58,5.24,2.53,3.66,0.19,-3.62,-9.53
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,202.11%,-18.89%,-67.14%,-67.58%,-97.79%,-,-
Free Cash Flow,-,-114.89,-143.29,-82.33,-106.35,-104.66,-151.86,-119.17,-113.8,-106.16,-112,-43,874,"1,240","2,936","4,033","3,177","3,190","2,631",217,163,"1,570","-1,338","-1,149","-1,740"
Free Cash Flow Per Share,-,-1.76,-2.19,-1.25,-1.60,-1.29,-0.46,-0.36,-0.34,-0.32,-0.32,-0.11,2.21,3.13,7.34,10.03,7.86,7.86,6.54,0.55,0.42,4.05,-3.47,-3.02,-4.57
Gross Margin,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,98.60%,90.04%,82.77%,85.47%,86.80%,83.23%,70.92%,67.30%,62.27%,57.47%,-112.50%,-22.39%
Operating Margin,-,-45.51%,-266.54%,-336.26%,-205.52%,-432.03%,-883.88%,-1098.44%,-767.12%,-938.08%,-1637.50%,-182.09%,-149.68%,-48.16%,65.36%,70.33%,71.60%,75.02%,69.68%,51.53%,34.66%,31.08%,-19.66%,-542.73%,-109.89%
Profit Margin,-,-45.08%,-261.22%,-326.10%,-210.31%,-406.82%,-827.31%,-1031.41%,-722.84%,-890.29%,-1550.00%,-174.63%,-148.41%,-47.81%,63.04%,63.85%,67.08%,67.51%,60.29%,46.26%,31.00%,28.82%,4.24%,-401.16%,-198.25%
Free Cash Flow Margin,-,-125.01%,-493.45%,-285.36%,-254.69%,-295.47%,-947.66%,-910.88%,-667.63%,-766.73%,-1400.00%,-64.18%,556.69%,217.16%,151.57%,92.63%,63.94%,44.24%,43.37%,4.57%,4.85%,30.88%,-71.86%,-334.01%,-95.03%
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.10%,9.24%,6.17%,10.02%,13.53%,11.20%,14.30%,11.48%,-,-,-
EBITDA,-,-32.2,-70.7,-88.05,-81.34,-119.46,-125.28,-127.79,-116.14,-114.79,-117,-109,-223,-202,"1,275","3,132","3,622","5,488","4,308","2,550","1,330","1,735",-227,"-1,657","-1,709"
EBITDA Margin,-,-35.04%,-243.48%,-305.17%,-194.79%,-337.25%,-781.80%,-976.74%,-681.33%,-829.04%,-1462.50%,-162.69%,-142.04%,-35.38%,65.82%,71.93%,72.89%,76.11%,71.02%,53.70%,39.54%,34.13%,-12.19%,-481.69%,-93.34%
Depreciation & Amortization,-,5.92,5.15,5.88,6.48,7.35,7.32,7.48,7.25,8.95,7,8,9,69,15,69,70,78,79,76,113,80,78,92,249
EBIT,-,-38.12,-75.86,-93.92,-87.82,-126.81,-132.6,-135.26,-123.39,-123.74,-124,-117,-232,-271,"1,260","3,063","3,552","5,410","4,229","2,474","1,217","1,655",-305,"-1,749","-1,958"
EBIT Margin,-,-41.47%,-261.22%,-325.55%,-210.31%,-358.00%,-827.46%,-1033.89%,-723.88%,-893.71%,-1550.00%,-174.63%,-147.77%,-47.46%,65.05%,70.35%,71.48%,75.02%,69.72%,52.10%,36.18%,32.55%,-16.38%,-508.43%,-106.94%
