,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
dividendPayout,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85257000,63502000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayoutCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,85257000,63502000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-20000000,0,0,0,0,400175000,0,0,-175000,0,0,0,0,0,0,0,0,2309000000,0,4973000000,4987000000,0,0,0,0,0,0,0,0,0,0,0,None
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,31693000,90822000,51252000,84267000,71274000,33256000,0,0,0,0,0,2000000000,300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,338400000,50760000,0,0,120300000,0,0,0,120300000,0,0,0,52883000,0,0,0,0,0,0,0,0,0,-432000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
proceedsFromRepurchaseOfEquity,None,2895000,2713000,8993000,1398000,7687000,6807000,17903000,212506000,27128000,13088000,374126000,68149000,36810000,10530000,155518000,23653000,785155000,12585000,173138000,1759374000,-77317000,10356000,510365000,-106587000,69070000,8941000,94018000,31053000,94869000,75771000,77953000,1040296000,70751000,96000000,2469000000,57000000,5117000000,5043000000,183000000,70000000,192000000,262000000,202000000,43000000,229000000,67000000,231000000,63000000,254000000,152000000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,218725000,-106052000,41938000,-36696000,-8016000,-124861000,116197000,12527000,534535000,48749000,48188000,1548019000,281002000,-286364000,-482833000,-395637000,-359403000,275363000,-229128000,244881000,1804512000,-162044000,308959000,613377000,-970669000,494106000,-162116000,-1369583000,-434806000,528473000,1442900000,-1598468000,-54662000,503000000,1391000000,1788000000,485000000,772000000,2066000000,-1957000000,1639000000,2154000000,1412000000,-86000000,2847000000,1597000000,None,-204000000,None,None,None
changeInExchangeRate,None,None,None,None,None,None,None,None,None,310000,-4225000,1917000,-1438000,-18290000,-17714000,-17655000,4599000,-11185000,-10037000,12870000,-2554000,3183000,-20908000,11382000,15952000,8094000,4027000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
netIncome,-58903000,-65078000,-81488000,-89873000,-105603000,-110804000,-89932000,11248000,-30502000,-38496000,-16264000,-49800000,-61900000,-74708000,-107630000,-154181000,-184227000,-229858000,-320397000,-282267000,-293188000,21878000,-121337000,-330277000,-336397000,-619376000,-675350000,-709000000,-718000000,311000000,140000000,-702000000,-408000000,143000000,105000000,16000000,104000000,331000000,270000000,438000000,1142000000,1618000000,2321000000,3318000000,2259000000,3292000000,3687000000,2513000000,2703000000,1853000000,7928000000
freeCashflow,-76802000.0,-90335000.0,-95020000.0,-131287000.0,-125550000.0,-169498000.0,-78974000.0,6352000.0,-78708000.0,25798000.0,40328000.0,-80724000.0,-201485000.0,-318683000.0,-106964000.0,-575464000.0,-524592000.0,-547761000.0,-192658000.0,-551403000.0,-473908000.0,-98933000.0,-2073173000.0,-606680000.0,-1050049000.0,-1416996000.0,-277143000.0,-1054038000.0,-739477000.0,880769000.0,910022000.0,-919932000.0,608990000.0,370942000.0,1013000000.0,-895000000.0,418000000.0,1390000000.0,1863000000.0,-1207000000.0,619000000.0,1328000000.0,2775000000.0,2228000000.0,-879000000.0,4797000000.0,1420000000.0,441000000.0,1005000000.0,848000000.0,2064000000.0
