,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
interestExpense,230000,464000,298000,63000,40000,1200000,1300000,-3257000,65000,84000,78000,26000,118000,20116000,6492000,6229000,11883000,31238000,29062000,28703000,26574000,24352000,29308000,38617000,40625000,46368000,46713000,65104000,99346000,108441000,117109000,146104000,149546000,163582000,175000000,175000000,158000000,172000000,185000000,170000000,169000000,170000000,163000000,246000000,99000000,75000000,126000000,71000000,61000000,44000000,53000000,33000000,29000000,28000000,38000000,61000000
nonInterestIncome,None,None,None,None,None,None,None,None,None,None,None,None,None,None,524000,123000,807000,-597000,2497000,-816000,-27977000,11206000,83540000,-20182000,-16815000,151628000,231285000,271827000,208356000,272764000,286158000,230580000,3482289000,4242047000,7044874000,7441796000,235829000,208362000,-353399000,-131000000,-26000000,-24000000,-161000000,-125000000,-2000000,1000000,-7000000,-47000000,-30000000,82000000,21454000000,-80000000,25000000,258000000,23350000000,24994000000
otherNonOperatingIncome,None,-6729000,3180000,187000,-1485000,-71000,-594000,-496000,-1076000,691000,-2188000,745000,17091000,1668000,-740000,4584000,6718000,-1226000,-3090000,-588000,-22305000,13233000,-15431000,-17149000,9177000,-7373000,-11756000,121224000,-18098000,-41208000,-24390000,-41304000,-37716000,50911000,23000000,-14000000,26000000,-41000000,85000000,-25000000,-54000000,-15000000,-97000000,44000000,28000000,45000000,-6000000,68000000,56000000,28000000,-85000000,-42000000,-48000000,328000000,37000000,-145000000
depreciation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,245200000,251800000,300000000,313000000,299000000,335000000,353000000,383000000,371000000,356000000,403000000,440000000,424000000,461000000,495000000,530000000,551000000,578000000,620000000,670000000,722000000,816000000,897000000,890000000
depreciationAndAmortization,2141000,2483000,3109000,2890000,3517000,4318000,4280000,4804000,4163000,4348000,7522000,12792000,17850000,22198000,28450000,37585000,44268000,54715000,64972000,67976000,77112000,91389000,110366000,143723000,156460000,183232000,280468000,326939000,376602000,389171000,400624000,469606000,416233000,485255000,502825000,496737000,467577000,578572000,78000000,133000000,553000000,567000000,584000000,618000000,621000000,681000000,761000000,848000000,880000000,922000000,956000000,989000000,1046000000,1154000000,1235000000,1232000000
incomeBeforeTax,-29401000,-38508000,-34852000,-51395000,-48791000,-58764000,-64991000,-81376000,-89814000,-105494000,-110688000,-90080000,11399000,-30201000,-37718000,-14906000,-48991000,-60750000,-70981000,-103911000,-151141000,-181060000,-228074000,-315349000,-278421000,-289539000,30011000,-110267000,-304999000,-320750000,-619661000,-683990000,-703395000,-704293000,328000000,162000000,-679000000,-389000000,169000000,147000000,18000000,125000000,517000000,353000000,507000000,1257000000,1841000000,2613000000,3664000000,2464000000,3597000000,3963000000,2774000000,3026000000,2020000000,2176000000
incomeTaxExpense,118000,9000,83000,-37000,150000,139000,87000,112000,59000,109000,116000,-148000,151000,301000,778000,1358000,809000,1150000,3727000,3719000,3040000,3167000,1784000,5048000,3846000,3649000,8133000,11070000,25278000,15647000,-285000,-8640000,5605000,13707000,17000000,22000000,23000000,19000000,26000000,42000000,2000000,21000000,186000000,83000000,69000000,115000000,223000000,292000000,346000000,205000000,305000000,276000000,261000000,323000000,167000000,-5752000000
interestAndDebtExpense,None,None,None,None,None,1200000,1300000,-3257000,65000,84000,78000,26000,118000,20116000,6492000,6229000,11883000,31238000,29062000,28703000,26574000,24352000,29308000,38617000,40625000,46368000,46713000,65104000,99346000,108441000,117109000,146363000,149546000,163582000,175220000,174723000,157453000,171979000,185000000,170000000,169000000,170000000,163000000,351000000,99000000,75000000,126000000,71000000,61000000,44000000,53000000,33000000,29000000,28000000,38000000,61000000
netIncomeFromContinuingOperations,None,None,None,None,None,-58903000,-65078000,7835000,-89873000,-105603000,-110804000,23857000,11248000,-30502000,-38496000,156590000,-49800000,-61900000,-74708000,261697000,-154181000,-184227000,-229858000,218564000,-282267000,-293188000,21878000,435278000,-397181000,-401427000,-671163000,438786000,-784627000,-742706000,254673000,1442900000,-667645000,-389262000,150000000,1391000000,68000000,129000000,369000000,2066000000,464000000,1178000000,1659000000,2343000000,3280000000,2269000000,3331000000,3707000000,2539000000,2614000000,1878000000,7943000000
comprehensiveIncomeNetOfTax,None,None,None,None,48941000,-58903000,-65102000,-81468000,-89879000,-105597000,-110804000,-89928000,11248000,-30502000,-38496000,-16264000,-49800000,-61900000,-74708000,-107651000,-170124000,-183066000,-239039000,-299968000,-265146000,-272560000,12995000,-170387000,-327306000,-304667000,-609087000,-663940000,-659978000,-781915000,301000000,123000000,-729000000,-379000000,29000000,189000000,-61000000,177000000,496000000,508000000,218000000,1205000000,1532000000,2255000000,3214000000,1832000000,2827000000,4268000000,2649000000,2518000000,1571000000,8477000000
ebit,-25998000,-38044000,-37834000,-51645000,-47346000,-58739000,-64477000,-80927000,-89749000,-105410000,-110610000,-90054000,11517000,-10085000,-31226000,-8677000,-37108000,-29512000,-41919000,-75208000,-124567000,-156708000,-198766000,-276732000,-237796000,-243171000,76724000,-45163000,-205653000,-212309000,-502552000,-537886000,-553849000,-540711000,503000000,337000000,-521000000,-217000000,354000000,317000000,187000000,295000000,680000000,599000000,606000000,1332000000,1967000000,2684000000,3725000000,2508000000,3650000000,3996000000,2803000000,3054000000,2058000000,2237000000
ebitda,-23857000,-28879000,-31445000,-48755000,-43829000,-53246000,-59411000,-79829000,-85586000,-101062000,-103088000,-77262000,29367000,12113000,-2776000,28908000,7160000,25203000,23053000,-7232000,-47455000,-65319000,-88400000,-133009000,-81336000,-59939000,357192000,281776000,170949000,176862000,-101928000,-68280000,-137616000,23272000,919582000,910273000,23729000,498065000,432000000,450000000,792000000,894000000,1393000000,1193000000,1215000000,1993000000,2765000000,3554000000,4483000000,3386000000,4644000000,4890000000,3710000000,3553000000,2999000000,3296000000
netIncome,-29519000,-38517000,-34935000,-51358000,-48941000,-58903000,-65078000,-81488000,-89873000,-105603000,-110804000,-89932000,11248000,-30502000,-38496000,-16264000,-49800000,-61900000,-74708000,-107630000,-154181000,-184227000,-229858000,-320397000,-282267000,-293188000,21878000,-121337000,-330277000,-336397000,-619376000,-675350000,-709000000,-718000000,311000000,140000000,-702000000,-408000000,143000000,105000000,16000000,104000000,331000000,270000000,438000000,1142000000,1618000000,2321000000,3318000000,2259000000,3292000000,3687000000,2513000000,2703000000,1853000000,7928000000
