proceedsFromRepurchaseOfEquity,-214000000,-24000000,-34000000,-39000000,0,-41000000,4000000,-4000000,24000000,-374000000,-631000000,-992000000,-316000000,-743000000,-1036000000,-616000000,-388000000,-562000000,-596000000,-1429000000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,4297000000,677000000,1807000000,1034000000,4817000000,17000000,-3811000000,298000000,2153000000,-423000000,1076000000,1461000000,6585000000,-1368000000,-1229000000,640000000,841000000,-346000000,-532000000,None
changeInExchangeRate,-9000000,41000000,-25000000,-81000000,46000000,-94000000,8000000,21000000,43000000,23000000,56000000,-69000000,-11000000,15000000,None,None,None,None,None,None
netIncome,686000000,1346000000,1900000000,1148000000,1143000000,-83000000,-3835000000,264000000,135000000,753000000,1032000000,1393000000,686000000,1084000000,1304000000,1387000000,1422000000,1426000000,1327000000,-984000000
freeCashflow,3952000000.0,1744000000.0,1492000000.0,590000000.0,4071000000.0,-293000000.0,-4269000000.0,-91000000.0,1530000000.0,124000000.0,716000000.0,1028000000.0,8209000000.0,37000000.0,807000000.0,263000000.0,11401000000.0,-1537000000.0,33000000.0,2530000000.0
startPeriod,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30
endPeriod,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,89.61,81.59,90.87,87.73,95.07,99.71,74.93,66.15,75.32,80.06,89.98,89.46,92.32,104.34,106.02,97.32,101.96,103.95,104.91,98.84
stockLow,63.23,64.97,76.89,77.05,80.95,43.44,48.05,55.73,51.92,65.02,76.07,79.72,79.0,84.8,87.61,80.27,80.99,93.34,91.95,71.02
stockAverage,78.65,75.84,83.62,82.98,90.59,85.19,62.37,60.94,65.51,72.89,84.03,85.51,87.14,94.56,96.18,90.73,93.87,98.51,97.91,85.84
