,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Shares Change,-,-,-,-,13.34%,-4.53%,151.63%,281.40%,158.34%,280.14%,56.56%,3.22%,43.66%,7.78%,12.48%,8.20%,8.46%,5.34%,0.66%,4.23%,2.57%,2.65%,5.61%,6.53%,6.52%
EPS (Basic),-,2.00,-1.99,-2.21,-0.59,-2.23,-4.72,-0.68,-0.02,-1.70,-1.02,-0.62,-0.53,-0.06,0.61,-1.28,0.48,-3.03,-1.32,-0.61,0.32,-0.08,0.19,0.11,0.70
EPS (Diluted),-,1.84,-2.01,-2.21,-0.52,-2.26,-4.72,-0.68,-0.02,-1.70,-1.02,-0.62,-0.53,-0.06,0.58,-1.28,0.46,-3.04,-1.33,-0.61,0.32,-0.08,0.18,0.10,0.67
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-30.43%,-,-,-,109.38%
Free Cash Flow,-,-249,-180,-464,-837,-811,"-1,069","-1,007","-2,022",-661,"-1,235",-537,-928,-682,-398,524,-187,-47,382,358,-303,549,"1,140",905,768
Free Cash Flow Per Share,-,-0.57,-0.41,-1.04,-1.86,-1.79,-0.96,-0.59,-1.62,-0.38,-0.71,-0.31,-0.52,-0.37,-0.21,0.28,-0.10,-0.02,0.19,0.18,-0.15,0.27,0.56,0.44,0.37
Gross Margin,-,55.26%,51.52%,48.71%,63.59%,45.76%,45.04%,51.22%,73.31%,54.09%,51.70%,53.86%,54.47%,41.10%,46.58%,49.68%,46.28%,41.26%,36.17%,38.00%,38.34%,40.39%,40.25%,39.45%,39.04%
Operating Margin,-,-18.50%,-26.70%,-25.92%,-49.27%,-33.37%,-173.25%,-29.01%,-33.23%,-38.89%,-84.00%,-39.67%,-27.71%,-52.50%,-30.24%,-11.81%,-9.52%,-7.03%,-8.83%,-5.93%,-1.65%,-2.97%,3.53%,4.24%,6.56%
Profit Margin,-,145.05%,-31.72%,-33.49%,-41.51%,-32.66%,-165.38%,-30.47%,-37.51%,-90.39%,-92.79%,-38.71%,-30.62%,-3.72%,29.12%,-50.03%,15.44%,-86.52%,-32.22%,-14.46%,6.91%,-1.78%,4.27%,2.38%,14.38%
Free Cash Flow Margin,-,-9.64%,-6.50%,-15.76%,-39.17%,-26.17%,-33.77%,-26.41%,-69.20%,-20.35%,-64.56%,-19.09%,-29.32%,-23.49%,-10.13%,10.82%,-3.24%,-0.69%,4.73%,4.29%,-3.52%,6.22%,12.35%,9.74%,7.73%
Effective Tax Rate,-,13.32%,-,-,-,-,-,-,-,-,-,-,-,240.26%,-72.03%,-,-12.20%,-,-,-,-16.44%,-,14.16%,-22.10%,8.51%
EBITDA,-,"4,544",-592,-693,-905,-630,"-4,964",-967,-869,"-2,932","-1,532",-816,-648,404,"1,006","-2,184","1,171","-5,779","-2,142",-775,885,273,811,552,"1,920"
EBITDA Margin,-,175.85%,-21.39%,-23.54%,-42.35%,-20.33%,-156.79%,-25.36%,-29.74%,-90.27%,-80.08%,-29.01%,-20.47%,13.92%,25.60%,-45.08%,20.27%,-84.32%,-26.53%,-9.29%,10.28%,3.09%,8.79%,5.94%,19.32%
Depreciation & Amortization,-,88,98,131,109,146,123,102,101,128,129,138,180,212,226,218,246,254,243,227,223,207,208,205,203
EBIT,-,"4,456",-690,-824,"-1,014",-776,"-5,087","-1,069",-970,"-3,060","-1,661",-954,-828,192,780,"-2,402",925,"-6,033","-2,385","-1,002",662,66,603,347,"1,717"
EBIT Margin,-,172.45%,-24.93%,-27.99%,-47.45%,-25.04%,-160.68%,-28.04%,-33.20%,-94.21%,-86.83%,-33.91%,-26.16%,6.61%,19.85%,-49.58%,16.01%,-88.02%,-29.54%,-12.01%,7.69%,0.75%,6.53%,3.73%,17.28%
