,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Shares Change,-,-,-,-,-,0.32%,-0.58%,0.09%,-0.56%,-2.07%,-0.70%,-1.15%,-0.34%,2.39%,1.05%,1.84%,1.28%,-0.79%,-1.33%,-2.84%,-4.25%,-4.08%,-4.27%,-2.95%,-1.48%,-0.86%
EPS (Basic),-,-,-,1.78,1.36,1.19,0.74,0.10,0.45,-3.13,0.32,-0.31,-0.04,1.66,1.32,2.53,2.25,2.33,2.12,2.28,1.03,0.87,-0.13,0.68,0.43,-0.15
EPS (Diluted),-,-,-,1.78,1.36,1.19,0.74,0.10,0.45,-3.13,0.32,-0.31,-0.04,1.66,1.32,2.51,2.23,2.32,2.11,2.26,1.02,0.87,-0.13,0.68,0.42,-0.15
EPS Growth,-,-,-,-,-,-,-,-94.38%,-66.91%,-,-56.76%,-,-,-,312.50%,-,-,39.76%,59.85%,-9.96%,-54.26%,-62.50%,-,-69.91%,-58.82%,-
Free Cash Flow,-,"-3,523",-609,"1,488",118,"1,026",914,373,"1,229","1,368",839,"1,315","1,478","1,332",-591,"1,655","2,286","1,372","1,249","1,353","1,432","1,421",38,716,"1,008",856
Free Cash Flow Per Share,-,-4.73,-0.81,1.99,0.16,1.37,1.22,0.50,1.66,1.85,1.13,1.78,2.00,1.79,-0.79,2.22,3.07,1.86,1.70,1.86,2.00,2.00,0.05,1.01,1.43,1.22
Dividend Per Share,-,-,-,-,-,-,-,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700
Gross Margin,21.79%,-56.02%,22.46%,17.59%,17.24%,15.46%,16.66%,14.47%,12.89%,14.56%,15.76%,8.91%,13.81%,14.67%,15.32%,22.65%,21.74%,18.00%,18.75%,17.65%,12.28%,10.14%,10.31%,13.53%,10.61%,9.18%
Operating Margin,11.22%,-131.06%,11.86%,8.67%,8.67%,6.52%,4.87%,4.05%,6.46%,-19.36%,7.01%,1.27%,1.83%,17.83%,10.83%,16.94%,14.58%,14.23%,13.23%,13.43%,8.31%,8.56%,0.31%,7.65%,5.33%,-1.80%
Profit Margin,5.74%,-83.32%,9.01%,10.42%,8.02%,7.46%,5.07%,0.68%,3.09%,-22.77%,2.45%,-2.69%,-0.26%,11.54%,8.34%,13.69%,11.34%,12.09%,10.28%,10.60%,5.24%,5.17%,-0.78%,4.25%,2.81%,-0.99%
Free Cash Flow Margin,-,-116.16%,-4.09%,11.63%,0.93%,8.59%,8.33%,3.39%,11.42%,13.41%,8.59%,15.74%,15.22%,12.44%,-4.97%,11.92%,15.41%,9.55%,8.18%,8.64%,10.15%,11.98%,0.32%,6.27%,9.39%,8.06%
Effective Tax Rate,44.35%,-,21.29%,15.74%,21.66%,5.71%,20.23%,62.50%,21.28%,-,36.60%,-,238.89%,31.26%,24.24%,21.61%,24.36%,17.06%,24.28%,22.71%,24.59%,26.23%,-,30.22%,22.96%,-
EBITDA,-,"-1,854","2,812","2,457","2,283","1,953","1,681","1,180","1,395","-1,274","1,316",709,944,"2,734","2,221","3,357","3,128","2,918","2,991","2,998","1,803","1,660",693,"1,516","1,241",492
EBITDA Margin,-,-61.13%,18.87%,19.21%,18.07%,16.35%,15.33%,10.71%,12.96%,-12.49%,13.47%,8.49%,9.72%,25.54%,18.69%,24.18%,21.08%,20.31%,19.60%,19.14%,12.77%,14.00%,5.85%,13.27%,11.57%,4.63%
Depreciation & Amortization,-,228,837,614,732,726,743,743,739,713,724,700,724,726,717,745,725,655,752,684,668,654,648,649,657,657
EBIT,"1,663","-2,082","1,975","1,843","1,551","1,227",938,437,656,"-1,987",592,9,220,"2,008","1,504","2,612","2,403","2,263","2,239","2,314","1,135","1,006",45,867,584,-165
EBIT Margin,12.20%,-68.64%,13.26%,14.41%,12.28%,10.27%,8.55%,3.97%,6.09%,-19.47%,6.06%,0.11%,2.27%,18.76%,12.66%,18.81%,16.20%,15.75%,14.67%,14.77%,8.04%,8.48%,0.38%,7.59%,5.44%,-1.55%
