,2016-09-30,2016-12-31,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Pretax Income,0,0,0,40.76,112.51,139.49,129.96,143.1,151.37,152.6,144.46,99.24,-23.56,229.71,397.91,288.45,270.29,301.97,162.25,282.24,240.78,-56.68,331.32,605.09,519.83,692.6,556.97
Income Tax,0,0,0,-1.9,0.38,0.45,0.05,0.56,0.52,0.55,0.02,0.61,0.45,0.31,-0.37,0.44,0.48,1.26,0.39,0.76,0.4,1.03,0.42,1.03,1.09,1.9,0.64
Net Income,0,0,0,42.66,112.12,139.04,129.91,142.54,150.85,152.05,144.44,98.63,-24.01,229.4,398.27,288.01,269.8,300.71,161.86,281.48,240.38,-57.71,330.91,604.05,518.74,690.7,556.33
Net Income Growth,-,-,-,-,-,-,-,234.12%,34.54%,9.35%,11.18%,-30.81%,-,50.87%,175.75%,192.01%,-,31.08%,-59.36%,-2.27%,-10.90%,-,104.44%,114.60%,115.80%,-,68.12%
Shares Outstanding (Basic),-,246,246,228,343,370,370,386,406,412,461,461,465,489,533,537,536,537,555,629,684,897,963,964,"1,002","1,007","1,013"
Shares Outstanding (Diluted),-,-,-,228,343,370,370,386,406,413,466,472,465,489,536,544,545,554,572,637,688,897,964,966,"1,004","1,008","1,014"
Shares Change,-,-,-,-,-,50.27%,50.32%,69.37%,18.36%,11.58%,25.84%,22.11%,14.57%,18.50%,15.12%,15.31%,17.12%,13.33%,6.66%,17.15%,26.27%,61.70%,68.59%,51.70%,45.92%,12.43%,5.13%
EPS (Basic),-,-,-,0.19,0.33,0.38,0.35,0.37,0.37,0.37,0.31,0.20,-0.05,0.47,0.75,0.54,0.50,0.56,0.29,0.45,0.35,-0.06,0.34,0.66,0.52,0.69,0.55
EPS (Diluted),-,-,-,0.19,0.33,0.38,0.35,0.37,0.37,0.37,0.31,0.20,-0.05,0.47,0.74,0.54,0.50,0.54,0.28,0.45,0.35,-0.06,0.34,0.67,0.52,0.69,0.55
EPS Growth,-,-,-,-,-,-,-,94.74%,12.12%,-2.63%,-11.43%,-45.95%,-,27.03%,138.71%,170.00%,-,14.89%,-62.16%,-16.67%,-30.00%,-,21.43%,48.89%,48.57%,-,61.76%
Free Cash Flow,-,0.26,-,129.39,122.14,123.97,81.85,175.22,115.5,147.01,172.27,244.67,136.12,180.19,220.68,343.88,154.48,252.71,197.97,288.69,293.22,657.23,503.87,505.62,514.27,536.82,551.53
Free Cash Flow Per Share,-,0.00,-,0.57,0.36,0.34,0.22,0.45,0.28,0.36,0.37,0.53,0.29,0.37,0.41,0.64,0.29,0.47,0.36,0.46,0.43,0.73,0.52,0.53,0.51,0.53,0.54
Dividend Per Share,-,-,-,-,0.160,0.263,0.287,0.287,0.287,0.287,0.297,0.297,0.297,0.297,0.330,0.330,0.330,0.330,0.360,0.360,0.360,0.360,0.390,0.390,0.390,0.390,0.415
Dividend Growth,-,-,-,-,-,-,-,-,79.37%,9.13%,3.48%,3.48%,3.48%,3.48%,11.11%,11.11%,11.11%,11.11%,9.09%,9.09%,9.09%,9.09%,8.33%,8.33%,8.33%,8.33%,6.41%
Gross Margin,49.47%,42.32%,54.14%,87.38%,90.22%,89.39%,87.26%,89.05%,98.09%,97.80%,97.56%,98.09%,98.01%,98.11%,96.49%,96.91%,96.93%,96.75%,96.78%,96.66%,96.72%,96.77%,96.93%,96.87%,97.23%,97.20%,97.29%
Operating Margin,0.02%,0.02%,-,76.86%,86.46%,85.73%,79.12%,86.57%,94.33%,93.09%,93.65%,95.46%,34.52%,119.67%,41.13%,98.71%,93.40%,102.05%,91.90%,92.64%,74.68%,9.07%,63.99%,98.41%,82.84%,99.96%,84.57%
Profit Margin,-,-,-,22.74%,51.37%,62.92%,55.83%,63.06%,70.49%,68.88%,64.91%,41.52%,-9.42%,88.95%,117.26%,77.21%,72.08%,79.89%,43.08%,73.46%,57.70%,-8.71%,44.03%,78.46%,59.11%,76.90%,61.52%
Free Cash Flow Margin,-,5.37%,-,68.97%,55.96%,56.10%,35.18%,77.52%,53.97%,66.60%,77.42%,103.00%,53.38%,69.87%,64.97%,92.19%,41.27%,67.14%,52.69%,75.35%,70.38%,99.19%,67.04%,65.67%,58.60%,59.77%,60.99%
Effective Tax Rate,-,-,-,-4.66%,0.34%,0.32%,0.04%,0.39%,0.34%,0.36%,0.02%,0.61%,-,0.13%,-0.09%,0.15%,0.18%,0.42%,0.24%,0.27%,0.17%,-,0.13%,0.17%,0.21%,0.27%,0.12%
EBITDA,-,0.8,-,104.87,166.29,191.85,184.94,198.33,205.89,208.44,213.99,171.57,53.4,308.62,476.22,366.61,348.13,381.04,327.38,355.67,308.96,77.97,501.49,777.51,724.22,897.87,762.91
EBITDA Margin,-,16.67%,-,55.90%,76.18%,86.82%,79.48%,87.74%,96.21%,94.42%,96.17%,72.23%,20.94%,119.66%,140.21%,98.28%,93.00%,101.23%,87.14%,92.83%,74.16%,11.77%,66.73%,100.99%,82.52%,99.97%,84.36%
Depreciation & Amortization,-,0.8,-,0.75,0.91,0.92,0.93,0.93,0.93,1.02,1,0.88,0.87,1.21,0.91,0.74,0.79,-0.73,0.03,3,0.03,1.53,0.82,3.09,0.03,1.67,1.01
EBIT,0,0,0,104.12,165.38,190.93,184.02,197.4,204.96,207.42,212.99,170.69,52.54,307.4,475.31,365.87,347.33,381.77,327.35,352.68,308.93,76.45,500.68,774.41,724.19,896.2,761.9
EBIT Margin,0.02%,0.02%,-,55.50%,75.77%,86.40%,79.08%,87.33%,95.77%,93.96%,95.72%,71.86%,20.60%,119.19%,139.94%,98.08%,92.79%,101.43%,87.13%,92.05%,74.15%,11.54%,66.62%,100.59%,82.51%,99.78%,84.25%
