,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Pretax Income,-38.54,-9.98,-19.67,-21.95,-26.65,-42.39,5.53,-22.51,-46.45,-17.58,-14.19,1.04,25.71,21.17,39.41,33.98,52.55,50.28,43.18,32.87,71.13,57.72,60.69,69.5,74.87,93,111.51,79.43,100.86,120.58,138.28,132.22,0
Income Tax,0,-9.19,-1.02,-2.97,-5.41,-14.32,-10.16,-3.76,-6.15,-5.81,-4.18,-11.49,21.4,0.35,0.46,0.28,0.56,0.32,0.28,0.21,0.43,-14.13,0.35,0.32,0.33,0.39,0.54,0.25,0.29,-28.25,73.07,79.7,0
Net Income,-38.54,-9.98,-19.67,-21.95,-26.65,-25.51,5.42,-22.75,-46.24,-17.49,-14.16,0.82,25.08,20.72,38.83,33.62,51.9,49.85,42.78,32.54,70.59,57.27,60.24,69.11,74.48,92.4,110.82,79.18,100.57,120.24,137.86,131.82,0
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3979.61%,106.97%,140.65%,10.17%,-3.20%,36.00%,14.88%,40.80%,112.38%,5.51%,61.33%,83.95%,14.57%,35.04%,30.14%,24.41%,66.48%,-
Shares Outstanding (Basic),302,302,302,302,302,312,312,312,520,520,521,521,521,521,525,538,540,543,549,561,564,567,568,577,598,606,610,611,611,612,612,612,-
Shares Outstanding (Diluted),302,302,302,302,302,312,312,312,520,520,521,522,521,522,526,539,542,544,550,562,566,569,569,579,600,608,612,613,612,613,613,614,-
Shares Change,-,-,-,-,-,3.16%,3.36%,3.13%,72.01%,66.74%,66.68%,67.47%,0.23%,0.41%,1.04%,3.24%,3.97%,4.23%,4.56%,4.31%,4.44%,4.58%,3.52%,2.97%,6.06%,6.87%,7.44%,5.89%,2.06%,0.77%,0.28%,0.15%,-
EPS (Basic),-0.13,-0.03,-0.07,-0.07,-0.09,-0.14,0.02,-0.07,-0.09,-0.03,-0.03,0.00,0.05,0.04,0.07,0.06,0.10,0.09,0.08,0.06,0.13,0.10,0.11,0.12,0.12,0.15,0.18,0.13,0.16,0.20,0.23,0.22,-
EPS (Diluted),-0.13,-0.03,-0.07,-0.07,-0.09,-0.14,0.02,-0.07,-0.09,-0.03,-0.03,0.00,0.05,0.04,0.07,0.06,0.10,0.09,0.08,0.06,0.12,0.10,0.11,0.12,0.12,0.15,0.18,0.13,0.16,0.20,0.22,0.21,-
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3650.00%,100.00%,125.00%,14.29%,0%,20.00%,11.11%,37.50%,100.00%,0%,50.00%,63.64%,8.33%,33.33%,33.33%,22.22%,61.54%,-
Free Cash Flow,-,-8.6,66.66,65.65,76.28,-8.25,59.79,84.81,85.85,-33.2,98.82,148.77,157.15,10.79,163.69,141.49,167.24,25.46,137.5,174.41,186.06,26.46,205.73,192.31,266.95,79.84,194.18,266.6,291.2,63.53,267.78,228.16,361.21
Free Cash Flow Per Share,-,-0.03,0.22,0.22,0.25,-0.03,0.19,0.27,0.17,-0.06,0.19,0.29,0.30,0.02,0.31,0.26,0.31,0.05,0.25,0.31,0.33,0.05,0.36,0.33,0.45,0.13,0.32,0.44,0.48,0.10,0.44,0.37,-
Gross Margin,54.44%,58.86%,57.13%,56.25%,58.35%,58.28%,57.90%,57.25%,60.86%,58.00%,58.43%,57.00%,59.21%,59.70%,58.65%,56.83%,59.00%,59.69%,59.64%,58.01%,60.46%,61.26%,60.72%,60.30%,61.77%,61.65%,61.69%,60.17%,59.66%,60.38%,60.33%,58.73%,100.00%
Operating Margin,15.82%,22.75%,21.78%,21.40%,24.22%,5.57%,22.42%,20.30%,20.22%,19.03%,19.84%,20.81%,26.30%,25.17%,25.26%,23.06%,25.43%,26.51%,25.97%,24.04%,26.29%,27.34%,27.14%,26.98%,28.81%,28.93%,29.64%,28.38%,28.39%,29.31%,29.38%,27.23%,100.00%
Profit Margin,-17.79%,-4.44%,-8.53%,-9.42%,-11.36%,-10.69%,2.24%,-9.34%,-14.01%,-4.13%,-3.27%,0.19%,5.80%,4.76%,8.79%,7.58%,11.68%,11.08%,9.51%,7.09%,15.21%,12.04%,12.25%,13.56%,14.37%,17.43%,19.98%,13.94%,17.46%,20.53%,23.04%,21.51%,-
Free Cash Flow Margin,-,-3.83%,28.92%,28.17%,32.52%,-3.46%,24.68%,34.82%,26.02%,-7.84%,22.85%,34.26%,36.32%,2.48%,37.07%,31.92%,37.64%,5.66%,30.57%,37.98%,40.09%,5.56%,41.85%,37.73%,51.52%,15.06%,35.01%,46.95%,50.55%,10.85%,44.75%,37.23%,301007.50%
Effective Tax Rate,-,-,-,-,-,-,-183.79%,-,-,-,-,-1103.84%,83.23%,1.64%,1.17%,0.81%,1.07%,0.64%,0.64%,0.64%,0.61%,-24.48%,0.58%,0.46%,0.44%,0.42%,0.49%,0.31%,0.29%,-23.43%,52.84%,60.28%,-
EBITDA,98.07,116.78,116.28,116.35,126.24,80.87,121.82,116.9,173.73,225.13,232.26,229.73,243.99,243.22,244.58,235.56,246.77,254.27,254.05,248.52,264.12,274.53,278.7,288.22,300.95,309.13,322.95,321.58,326.86,336.36,341.53,337.58,0
EBITDA Margin,45.26%,52.02%,50.45%,49.93%,53.82%,33.87%,50.29%,48.00%,52.65%,53.14%,53.71%,52.90%,56.40%,55.85%,55.39%,53.13%,55.54%,56.53%,56.49%,54.12%,56.91%,57.72%,56.69%,56.54%,58.09%,58.33%,58.23%,56.63%,56.74%,57.42%,57.08%,55.09%,-
Depreciation & Amortization,-,63.79,65.7,66.08,66.48,69.42,67.58,67.52,67.47,107.02,144.5,146.45,139.37,130.22,133.61,133.03,133.32,133.76,135.03,137.27,138.15,142.09,144.5,145.28,150.69,151.66,155.8,158.57,160.43,163.32,164.67,165.76,170.7
EBIT,-,52.99,50.58,50.27,59.76,11.45,54.24,49.38,106.26,118.11,87.76,83.28,104.62,113,110.97,102.53,113.45,120.51,119.03,111.26,125.97,132.44,134.2,142.94,150.25,157.47,167.16,163.01,166.43,173.04,176.86,171.83,-
EBIT Margin,-,23.60%,21.94%,21.57%,25.48%,4.79%,22.39%,20.28%,32.21%,27.88%,20.29%,19.18%,24.18%,25.95%,25.13%,23.13%,25.54%,26.79%,26.46%,24.23%,27.14%,27.85%,27.30%,28.04%,29.00%,29.71%,30.14%,28.71%,28.89%,29.54%,29.56%,28.04%,-
