proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,351000000,-1352000000,240000000,39000000,1118000000,1033000000,1005000000,986000000,1152000000,-1390000000,1037000000,1063000000,-525000000,-1356000000,-1005000000,497000000,911000000,-82000000,889000000,None
changeInExchangeRate,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
netIncome,356000000,863000000,861000000,933000000,-409000000,868000000,1005000000,986000000,330000000,2195000000,1037000000,1063000000,2710000000,955000000,946000000,915000000,2080000000,842000000,812000000,937000000
freeCashflow,1914000000.0,-1197000000.0,1355000000.0,882000000.0,1993000000.0,-1265000000.0,2068000000.0,1072000000.0,1010000000.0,-271000000.0,798000000.0,916000000.0,709000000.0,-732000000.0,-460000000.0,1039000000.0,1619000000.0,-1011000000.0,615000000.0,869000000.0
startPeriod,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30
endPeriod,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,321.72,291.55,324.93,383.89,378.58,385.01,357.12,352.12,326.73,326.15,379.03,373.98,408.03,490.82,492.3,515.49,556.27,547.8,483.4,462.0
stockLow,223.63,237.08,264.5,317.88,335.94,263.31,290.62,285.49,285.13,282.88,320.27,344.89,345.9,364.62,431.92,433.87,463.11,430.94,429.1,416.71
stockAverage,276.75,272.36,298.1,353.79,352.11,348.51,327.82,325.91,306.13,301.18,359.49,361.48,372.04,411.87,458.74,476.58,520.86,464.09,453.83,439.4
