,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Interest Income,0.39,1.05,0.91,0.83,1.08,2.97,2.57,1.86,1.32,0.85,0.54,0.37,0.39,0.67,1.06,1.64,3.85,8.32,13.49,16.54,17.95,20.19
Interest Expense,0.25,0.27,0.27,0.29,0.41,0.14,0.07,5.01,9.83,10.06,10.23,10.44,12.45,16.11,1.56,1.04,1.51,0.88,-2.13,1.54,-1.14,-1.07
Other Expense / Income,1.24,0.19,0.29,0.09,0.65,0.41,-0.49,0.22,0.21,-0.11,-0.15,0.88,71.87,0.67,0.49,-0.23,-2.43,1.6,13.49,51.83,2.16,4.24
Pretax Income,-37.57,-16.5,-16.8,-19.32,-41.07,-27.53,-33.08,-28.07,-29.97,-33.84,-40.8,-39.82,-110.43,-56.93,-41.01,-63.71,-41.17,-44.85,-36.77,-93,-22.28,-25.81
Income Tax,0.42,0.19,0.31,0.39,-0.21,0.62,-0.34,-1.94,-3.5,0.18,-0.83,-4.31,-3.1,20.57,0.37,-0.17,1.37,1.07,1.31,1.47,1.25,2.05
Net Income,-37.99,-16.69,-17.11,-19.71,-40.85,-28.16,-32.75,-26.14,-26.47,-34.02,-39.96,-35.51,-107.34,-77.5,-41.38,-63.54,-42.55,-45.92,-38.08,-94.47,-23.54,-27.87
Shares Outstanding (Basic),251,251,251,293,118,294,296,299,302,304,306,308,315,320,323,325,327,328,330,332,335,337
Shares Outstanding (Diluted),251,251,251,293,118,294,296,299,302,304,306,308,315,320,323,325,327,328,330,332,335,337
Shares Change,-,-,-,-,-52.98%,17.26%,17.92%,2.04%,155.55%,3.19%,3.33%,2.99%,4.26%,5.44%,5.68%,5.49%,3.83%,2.50%,2.18%,2.18%,2.47%,2.51%
EPS (Basic),-0.15,-0.07,-0.07,-0.07,-0.35,-0.10,-0.11,-0.09,-0.09,-0.11,-0.13,-0.12,-0.34,-0.24,-0.13,-0.20,-0.13,-0.14,-0.12,-0.28,-0.07,-0.08
EPS (Diluted),-0.15,-0.07,-0.07,-0.07,-0.35,-0.10,-0.11,-0.09,-0.09,-0.11,-0.13,-0.12,-0.34,-0.24,-0.13,-0.20,-0.13,-0.14,-0.12,-0.28,-0.07,-0.08
Free Cash Flow,-,-22.14,-28.96,-22.12,-16.9,-33.64,-23.54,-30.6,-20.15,-17.85,-23.48,-2.22,-9.78,-39.73,8.64,-64.4,-4.41,-4.61,33.66,13.9,19.97,34.88
Free Cash Flow Per Share,-,-0.09,-0.12,-0.08,-0.14,-0.11,-0.08,-0.10,-0.07,-0.06,-0.08,-0.01,-0.03,-0.12,0.03,-0.20,-0.01,-0.01,0.10,0.04,0.06,0.10
Gross Margin,77.61%,76.66%,76.74%,78.00%,78.32%,78.32%,77.18%,75.77%,76.35%,76.92%,76.76%,77.02%,78.23%,78.05%,77.82%,76.20%,75.59%,75.32%,75.73%,75.62%,76.74%,77.02%
Operating Margin,-72.83%,-30.80%,-27.78%,-29.32%,-55.57%,-35.67%,-39.53%,-24.77%,-18.62%,-19.65%,-22.64%,-18.94%,-15.37%,-21.09%,-18.86%,-27.52%,-18.10%,-18.45%,-13.40%,-18.21%,-11.68%,-11.82%
Profit Margin,-75.87%,-30.07%,-27.73%,-29.23%,-55.25%,-33.55%,-35.89%,-26.21%,-23.18%,-27.02%,-28.95%,-23.30%,-62.28%,-40.03%,-19.50%,-27.09%,-16.76%,-16.72%,-13.12%,-30.62%,-7.01%,-7.69%
Free Cash Flow Margin,-,-39.89%,-46.91%,-32.81%,-22.85%,-40.08%,-25.80%,-30.69%,-17.65%,-14.18%,-17.01%,-1.46%,-5.67%,-20.52%,4.07%,-27.46%,-1.74%,-1.68%,11.60%,4.51%,5.95%,9.62%
EBITDA,-32.2,-10.73,-10.36,-12.04,-32.9,-18.83,-22.45,-11.52,-7.23,-9.42,-15.34,-13.35,-80.95,-22.49,-19.44,-37.33,-12.31,-14.34,-47.27,-7.49,-39.21,-42.83
EBITDA Margin,-64.31%,-19.32%,-16.78%,-17.85%,-44.49%,-22.44%,-24.61%,-11.55%,-6.33%,-7.48%,-11.11%,-8.76%,-46.97%,-11.62%,-9.16%,-15.92%,-4.85%,-5.22%,-16.29%,-2.43%,-11.68%,-11.82%
Depreciation & Amortization,-,5.12,5.51,6.17,6.99,7.76,8.56,10.56,11.55,12.92,14.36,15.22,16.03,17.03,18.33,20.01,25.34,27.35,29.63,31.51,33.67,34.46
EBIT,-,-15.84,-15.87,-18.21,-39.89,-26.6,-31.01,-22.08,-18.78,-22.34,-29.7,-28.57,-96.98,-39.52,-37.77,-57.34,-37.65,-41.69,-76.91,-39,-72.89,-77.29
EBIT Margin,-,-28.55%,-25.70%,-27.00%,-53.94%,-31.69%,-33.98%,-22.14%,-16.45%,-17.74%,-21.51%,-18.74%,-56.27%,-20.41%,-17.80%,-24.45%,-14.83%,-15.18%,-26.50%,-12.64%,-21.72%,-21.32%
