,2015-05-28,2015-11-29,2016-02-28,2016-05-28,2016-08-28,2016-11-27,2017-02-26,2017-05-28,2017-08-27,2017-11-26,2018-02-25,2018-05-27,2018-08-26,2018-11-25,2019-02-24,2019-05-26,2019-08-25,2019-11-24,2020-02-23,2020-05-31,2020-08-30,2020-11-29,2021-02-28,2021-05-30,2021-08-29,2021-11-28,2022-02-27,2022-05-29,2022-08-28,2022-11-27,2023-02-26,2023-05-28,2023-08-27,2023-11-26
Dividends Paid,-,-,0,0,0,0,-27.4,0,-27.4,-27.4,-27.4,-28,-28,-28,-28,-29.3,-29.2,-29.3,-29.2,-33.6,-33.6,-33.6,-33.7,-34.4,-34.4,-34.3,-34.3,-35.4,-35.3,-35.3,-35.2,-40.3,-40.8,-40.8
Share Issuance / Repurchase,-,-,0,0,0,0,0,-0.2,0,0,-2.1,-0.6,-3.9,-0.5,-7.9,-24.1,-7.4,-10.4,-11.1,0,-9.6,-0.2,-13.1,-13.2,-33.4,-50.1,-50.2,-24.7,-34.4,-0.5,-12.3,-4.4,-113.5,-50.8
Debt Issued / Paid,-,-,1.3,2.6,-1,866.1,-16.7,-76.9,0.3,46.5,-67.3,-33.1,-11.9,-4.1,48.2,-99.9,-18,0.6,2.3,"1,292",-507.3,-281.1,-8,-7.9,-7.9,-58.4,5.8,-1.1,5.8,0.8,479.6,52.1,-17.5,151.9
Other Financing Activities,-,-,2.7,-123.9,-20.4,-847.5,-3.2,-14.8,-3.4,-4.5,-3.7,-0.8,-2.1,-2.9,-78.2,1,-0.3,0.4,3.9,-5.9,0.3,-2.1,2.1,1.4,-0.1,-0.7,-4.2,-,0.4,1.9,-4.2,2.1,0.1,-0.6
Financing Cash Flow,-,-,4,-121.3,-21.4,18.6,-47.3,-91.9,-30.5,14.6,-100.5,-62.5,-45.9,-35.5,-65.9,-152.3,-54.9,-38.7,-34.1,"1,253",-550.2,-317,-52.7,-54.1,-75.8,-143.5,-82.9,-61.2,-63.5,-33.1,427.9,9.5,-171.7,59.7
Exchange Rate Effect,-,-,0.3,0.8,0.7,-1.5,0.4,1.5,4.1,-0.7,1.9,-2.3,-0.3,-0.4,-0.9,-0.1,-0.1,0.2,-0.4,-0.9,1.2,0.4,0,1.7,-1,-1.2,1.7,-2.7,-1.4,15.4,5.3,-1.1,0.4,0.7
Net Cash Flow,-,-,12.7,-0.2,36,-3,-31.9,19.6,12.7,1.3,-21.7,6.2,94.9,-28.9,-104.4,-5,6.8,4.8,6.3,"1,334",-331.5,-268.6,-49.6,69.2,6.2,-167.8,-193.3,96.4,-39.7,-65.9,255.6,-370.2,-141.5,-85
Free Cash Flow,-,-,8.4,120.3,56.7,-20.1,15,107.9,39.1,-10.9,77.6,68.6,140.9,5.5,53.8,146.5,188.2,69,50.7,98.4,230,46.5,6.2,122.8,82.9,-22.5,-104.2,172.3,90.9,-35.8,-149.4,202,67.3,-119.7
Free Cash Flow Growth,-,-,-,-,-,-,78.57%,-10.31%,-31.04%,-,417.33%,-36.42%,260.36%,-,-30.67%,113.56%,33.57%,1154.55%,-5.76%,-32.83%,22.21%,-32.61%,-87.77%,24.80%,-63.96%,-,-,40.31%,9.65%,-,-,17.24%,-25.96%,-
Free Cash Flow Margin,-,-,1.15%,15.48%,7.30%,-2.54%,1.95%,12.96%,4.78%,-1.32%,8.99%,7.47%,15.40%,0.60%,5.80%,14.60%,19.03%,6.77%,5.41%,11.62%,26.39%,5.19%,0.69%,12.19%,8.42%,-2.24%,-10.91%,14.94%,8.08%,-2.80%,-11.92%,11.92%,4.04%,-6.91%
Free Cash Flow Per Share,-,-,0.06,0.82,0.39,-0.14,0.10,0.74,0.27,-0.07,0.53,0.47,0.96,0.04,0.37,1.00,1.29,0.47,0.35,0.67,1.57,0.32,0.04,0.84,0.57,-0.15,-0.72,1.19,0.63,-0.25,-1.04,1.38,0.46,-0.83
