,2015-05-28,2015-11-29,2016-02-28,2016-05-28,2016-08-28,2016-11-27,2017-02-26,2017-05-28,2017-08-27,2017-11-26,2018-02-25,2018-05-27,2018-08-26,2018-11-25,2019-02-24,2019-05-26,2019-08-25,2019-11-24,2020-02-23,2020-05-31,2020-08-30,2020-11-29,2021-02-28,2021-05-30,2021-08-29,2021-11-28,2022-02-27,2022-05-29,2022-08-28,2022-11-27,2023-02-26,2023-05-28,2023-08-27,2023-11-26
Income Tax,-,38.7,53.2,20.3,51,33.9,44,41.2,44.1,41.5,7.5,28.1,34.3,34,39.6,25.7,36.7,42.7,35.7,-2.8,28,31.9,16.3,14.3,8.7,9.6,31.1,22.4,73.7,36.8,42.1,72,69.9,66.2
Net Income,-,73.3,107.4,42.6,79.6,87.2,84.2,75.9,83.4,76.6,156.8,100,107.8,119,141.4,110.4,115.7,140.4,111.4,-1.6,89.3,96.9,66.1,65.5,29.8,32.5,106.6,32,231.9,103.1,175.1,498.8,234.8,215
Net Income Growth,-,-,-,-,-,18.96%,-21.60%,78.17%,4.77%,-12.16%,86.22%,31.75%,29.26%,55.35%,-9.82%,10.40%,7.33%,17.98%,-21.22%,-,-22.82%,-30.98%,-40.66%,-,-66.63%,-66.46%,61.27%,-51.15%,678.19%,217.23%,64.26%,1458.75%,1.25%,108.54%
Shares Outstanding (Basic),146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,147,147,146,146,146,145,145,144,144,144,146,146,145
Shares Outstanding (Diluted),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,147,147,147,147,146,146,145,145,145,145,147,147,146
Shares Change,-,-,-,-,-,-,-,0.01%,0.03%,0.09%,0.11%,0.11%,0.16%,0.18%,0.18%,0.03%,-0.18%,-0.27%,-0.27%,-0.05%,0.71%,0.71%,0.76%,0.62%,-0.14%,-0.54%,-1.15%,-1.43%,-1.57%,-1.16%,-0.48%,1.17%,1.38%,0.62%
EPS (Basic),-,0.50,0.71,0.29,0.54,0.59,0.57,0.51,0.56,0.52,1.07,0.68,0.73,0.74,0.96,0.75,0.79,0.96,0.76,-0.01,0.61,0.66,0.45,0.45,0.20,0.23,0.73,0.22,1.61,0.72,1.22,3.44,1.61,1.48
EPS (Diluted),-,0.50,0.71,0.29,0.54,0.59,0.57,0.52,0.56,0.52,1.06,0.68,0.73,0.74,0.95,0.76,0.79,0.95,0.76,-0.01,0.61,0.66,0.45,0.44,0.20,0.22,0.73,0.22,1.60,0.71,1.21,3.42,1.60,1.48
EPS Growth,-,-,-,-,-,18.00%,-19.72%,79.31%,3.70%,-11.86%,85.96%,30.77%,30.36%,42.31%,-10.38%,11.76%,8.22%,28.38%,-20.00%,-,-22.78%,-30.53%,-40.79%,-,-67.21%,-66.67%,62.22%,-50.00%,700.00%,222.73%,65.75%,1454.55%,0%,108.45%
Free Cash Flow,-,-,8.4,120.3,56.7,-20.1,15,107.9,39.1,-10.9,77.6,68.6,140.9,5.5,53.8,146.5,188.2,69,50.7,98.4,230,46.5,6.2,122.8,82.9,-22.5,-104.2,172.3,90.9,-35.8,-149.4,202,67.3,-119.7
Free Cash Flow Per Share,-,-,0.06,0.82,0.39,-0.14,0.10,0.74,0.27,-0.07,0.53,0.47,0.96,0.04,0.37,1.00,1.29,0.47,0.35,0.67,1.57,0.32,0.04,0.84,0.57,-0.15,-0.72,1.19,0.63,-0.25,-1.04,1.38,0.46,-0.83
Dividend Per Share,-,-,-,-,-,-,0.188,0.188,0.188,0.188,0.191,0.191,0.191,0.191,0.200,0.200,0.200,0.200,0.230,0.230,0.230,0.230,0.235,0.235,0.235,0.235,0.245,0.245,0.245,0.245,0.280,0.280,0.280,0.280
Dividend Growth,-,-,-,-,-,-,-,-,-,-,1.60%,1.60%,1.60%,1.60%,4.71%,4.71%,4.71%,4.71%,15.00%,15.00%,15.00%,15.00%,2.17%,2.17%,2.17%,2.17%,4.26%,4.26%,4.26%,4.26%,14.29%,14.29%,14.29%,14.29%
Gross Margin,-,21.86%,24.96%,22.75%,23.26%,25.15%,26.94%,23.10%,24.01%,25.25%,28.06%,25.34%,25.20%,27.32%,29.50%,24.97%,25.14%,27.97%,26.72%,13.12%,24.53%,24.94%,21.96%,19.65%,15.37%,20.42%,23.14%,22.04%,24.28%,29.89%,31.73%,22.38%,29.99%,27.46%
Operating Margin,-,14.79%,17.47%,6.68%,16.10%,15.87%,18.89%,14.73%,16.83%,16.95%,19.60%,14.54%,16.68%,19.09%,20.91%,14.75%,17.19%,18.99%,17.34%,3.65%,15.57%,15.58%,11.23%,9.82%,6.12%,11.36%,14.01%,11.79%,13.95%,21.29%,21.24%,11.03%,19.41%,17.64%
Profit Margin,-,9.90%,14.74%,5.48%,10.25%,11.03%,10.96%,9.12%,10.20%,9.29%,18.16%,10.89%,11.78%,13.06%,15.26%,11.00%,11.70%,13.78%,11.89%,-0.19%,10.25%,10.81%,7.38%,6.50%,3.03%,3.23%,11.16%,2.78%,20.60%,8.08%,13.97%,29.43%,14.10%,12.41%
Free Cash Flow Margin,-,-,1.15%,15.48%,7.30%,-2.54%,1.95%,12.96%,4.78%,-1.32%,8.99%,7.47%,15.40%,0.60%,5.80%,14.60%,19.03%,6.77%,5.41%,11.62%,26.39%,5.19%,0.69%,12.19%,8.42%,-2.24%,-10.91%,14.94%,8.08%,-2.80%,-11.92%,11.92%,4.04%,-6.91%
Effective Tax Rate,-,34.55%,33.13%,32.27%,39.05%,27.99%,34.32%,35.18%,34.59%,35.14%,4.56%,21.94%,24.14%,22.22%,21.88%,18.88%,24.08%,23.32%,24.27%,-,23.87%,24.77%,19.78%,17.92%,22.60%,22.80%,22.59%,41.18%,24.12%,26.30%,19.38%,12.61%,22.94%,23.54%
EBITDA,-,-,185.7,88.9,157.6,154.5,182,173.3,183.7,181.1,230.3,195,207.5,217.8,248.3,208.1,226.6,254.2,218.1,69.6,194.5,206.6,159.3,154,113.7,172.1,211,129,381.4,216.7,294.3,673.1,405.5,380.9
EBITDA Margin,-,-,25.48%,11.44%,20.30%,19.54%,23.68%,20.82%,22.47%,21.96%,26.67%,21.24%,22.68%,23.90%,26.79%,20.74%,22.91%,24.94%,23.27%,8.22%,22.32%,23.06%,17.78%,15.29%,11.55%,17.10%,22.09%,11.19%,33.88%,16.98%,23.48%,39.71%,24.35%,21.99%
Depreciation & Amortization,-,-,23.6,24.4,25.5,26.6,27.5,29.5,31,35.6,37.5,39.2,38.6,38.6,40.3,44.9,46,45.7,45.8,44.8,46.9,47.8,47.6,45.5,47.3,47.6,47.5,49.7,49.8,52.2,51.3,69.5,70.1,70.6
EBIT,-,113.5,162.1,64.5,132.1,127.9,154.5,143.8,152.7,145.5,192.8,155.8,168.9,179.2,208,163.2,180.6,208.5,172.3,24.8,147.6,158.8,111.7,108.5,66.4,124.5,163.5,79.3,331.6,164.5,243,603.6,335.4,310.3
EBIT Margin,-,15.33%,22.25%,8.30%,17.02%,16.18%,20.10%,17.27%,18.68%,17.64%,22.33%,16.97%,18.46%,19.66%,22.44%,16.26%,18.26%,20.46%,18.38%,2.93%,16.94%,17.72%,12.47%,10.77%,6.75%,12.37%,17.12%,6.88%,29.46%,12.89%,19.38%,35.61%,20.14%,17.91%
