,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-04-01,2016-07-01,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-29,2017-12-31,2018-03-30,2018-06-29,2018-09-28,2018-12-31,2019-03-29,2019-06-28,2019-09-27,2019-12-31,2020-03-27,2020-06-26,2020-09-25,2020-12-31,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-29,2023-12-31,Current
Interest Coverage,0,0,0,0,0,0,119.30,13.81,14.75,13.05,15.34,15.54,19.99,13.75,15.11,13.17,11.03,-8.59,-5.62,-5.15,-6.21,-2.74,4.42,7.07,5.00,7.13,-8.38,-8.00,-8.00,11.29,11.06,9.54,5.39,7.49,-8.80,9.77,-10.91,-10.91
Return on Equity (ROE),,-,-,4.35%,16.31%,16.68%,16.02%,36.03%,34.58%,32.45%,30.81%,28.12%,26.83%,27.56%,27.03%,20.64%,19.53%,44.18%,41.12%,38.46%,37.17%,10.00%,8.51%,7.73%,7.69%,18.00%,18.67%,18.82%,17.79%,6.38%,6.92%,6.92%,7.38%,7.80%,7.74%,8.02%,8.21%,8.39%
Return on Assets (ROA),,-,-,3.09%,11.67%,11.98%,11.68%,10.96%,10.87%,10.65%,10.81%,10.53%,9.99%,9.95%,10.38%,9.69%,8.21%,22.58%,17.99%,16.37%,15.96%,4.24%,3.64%,3.42%,3.43%,10.05%,11.78%,11.95%,11.07%,3.69%,4.07%,4.07%,4.36%,4.75%,4.83%,5.08%,5.28%,5.12%
Return on Capital (ROIC),,-,-,4.35%,16.31%,16.68%,16.02%,14.90%,14.90%,15.02%,15.32%,15.03%,13.82%,14.04%,14.43%,13.13%,11.26%,11.27%,8.07%,6.93%,6.55%,5.96%,5.29%,5.00%,5.26%,5.08%,6.75%,6.83%,5.91%,5.41%,5.53%,5.67%,6.10%,5.80%,5.93%,6.33%,6.60%,7.09%
Earnings Yield,1.64%,1.46%,1.63%,1.41%,1.70%,1.31%,1.72%,1.54%,1.44%,1.14%,1.30%,1.30%,1.60%,1.16%,1.31%,0.99%,11.15%,0.70%,0.76%,1.07%,0.90%,0.30%,0.69%,1.08%,5.08%,0.46%,0.75%,0.59%,0.60%,0.76%,0.88%,0.92%,1.00%,0.72%,0.79%,0.83%,1.03%,2.92%
FCF Yield,2.68%,0.51%,1.88%,1.45%,2.56%,1.07%,1.99%,2.06%,1.79%,0.69%,1.18%,1.39%,1.97%,0.62%,1.40%,1.43%,2.25%,0.56%,1.02%,1.81%,2.06%,1.12%,2.42%,2.17%,1.55%,0.57%,1.13%,0.99%,0.92%,0.90%,1.41%,1.48%,1.88%,0.62%,1.14%,1.47%,-0.13%,2.70%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.16%,0.14%,0.13%,0.12%,0.12%,0.11%,0.11%,0.17%,0.21%,0.17%,0.18%,0.12%,0.27%,0.17%,0.22%,0.19%,0.24%,0.17%,0.17%,0.10%,0.09%,0.12%,0.13%,0.12%,0.11%,0.10%,0.09%,0.09%,0.00%,0.38%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.67%,10.78%,12.12%,10.16%,9.04%,7.24%,9.30%,8.27%,17.16%,1.93%,24.76%,23.25%,11.35%,30.08%,56.09%,31.46%,18.07%,4.79%,37.21%,22.61%,16.71%,15.21%,15.20%,14.39%,13.06%,10.87%,14.23%,11.77%,11.28%,0.00%,13.11%
Buyback Yield / Dilution,-,-,-,-,0.35%,-,-,-1.16%,-1.66%,-1.83%,-2.03%,-1.06%,-1.20%,-0.83%,-0.80%,-0.68%,4.13%,4.20%,4.31%,4.33%,-0.24%,-0.15%,-0.51%,-0.26%,-6.06%,-0.50%,-0.79%,-6.28%,-0.61%,-7.81%,-5.08%,1.19%,1.71%,3.23%,1.20%,0.50%,0.62%,0.62%
Total Shareholder Return,-,-,-,-,0.35%,-,-,-0.99%,-1.50%,-1.69%,-1.90%,-0.94%,-1.09%,-0.72%,-0.69%,-0.51%,4.34%,4.38%,4.49%,4.46%,0.03%,0.02%,-0.29%,-0.07%,-5.81%,-0.33%,-0.62%,-6.18%,-0.52%,-7.70%,-4.95%,1.31%,1.82%,3.33%,1.29%,0.60%,0.62%,1.00%
