,2014-12-31,2015-09-30,2015-12-31,2016-04-01,2016-07-01,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-29,2017-12-31,2018-03-30,2018-06-29,2018-09-28,2018-12-31,2019-03-29,2019-06-28,2019-09-27,2019-12-31,2020-03-27,2020-06-26,2020-09-25,2020-12-31,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-29,2023-12-31
Deferred Revenue,165.3,0,177.3,0,0,0,204.6,0,0,0,213.4,0,0,0,288.1,837.8,"1,025","1,155",410.1,0,0,0,376.4,836.9,900,969.2,457.6,0,0,0,509.6,0,0,0,0
Current Debt,427.8,0,408.3,0,0,0,414.8,0,0,0,496.5,0,799.3,"1,825",455.6,"1,111","1,051","1,052","1,555",303.3,"1,051","1,054","1,447","1,171","1,179","1,404","2,196",999.8,999.9,999.9,999.7,999.8,999.9,749.9,549.3
Other Current Liabilities,68.5,669,80.8,618.8,706,749.6,180.9,777.7,722.2,733.2,164.9,749.7,735.9,896.3,741.9,22.7,17.1,15.7,736.7,"1,072","1,092","1,210",556.8,2.8,1.5,1.2,503.1,985.7,"1,030","1,020",594.8,"1,037",999.5,"1,095","1,183"
Total Current Liabilities,"1,285","1,279","1,324","1,244","1,350","1,369","1,467","1,401","1,371","1,379","1,602","1,461","2,299","3,480","2,192","2,640","2,791","2,916","3,467","2,121","2,876","3,041","2,861","2,475","2,570","2,869","3,715","2,562","2,611","2,592","2,727","2,630","2,585","2,420","2,341"
Long-Term Debt,0,0,0,0,"3,375","3,509","3,358","3,263","3,208","3,672","4,056","3,997","2,927","3,178","2,975","4,841","5,348","5,181","4,987","5,981","4,850","4,870","2,985","1,594","1,588","1,586","1,947","2,739","2,682","2,559","2,252","2,095","1,978","1,982","3,097"
Other Long-Term Liabilities,838.1,803.2,704.6,706.9,689.7,695.6,674.3,678.7,715.2,797.5,"1,034","1,087","1,118","1,356","1,126","1,313","1,307","1,400","1,584","1,577","1,572","1,600","1,233","1,193","1,129","1,198","1,286","1,399","1,328","1,346","1,223","1,204","1,196","1,179","1,155"
Total Long-Term Liabilities,838.1,803.2,704.6,706.9,"4,065","4,205","4,032","3,941","3,923","4,469","5,090","5,084","4,046","4,534","4,101","6,154","6,654","6,581","6,572","7,557","6,422","6,471","4,218","2,787","2,716","2,784","3,234","4,138","4,010","3,905","3,475","3,299","3,174","3,161","4,252"
Total Liabilities,"2,123","2,082","2,028","1,951","5,415","5,574","5,499","5,342","5,294","5,849","6,692","6,546","6,344","8,014","6,293","8,794","9,445","9,497","10,039","9,678","9,299","9,512","7,079","5,262","5,286","5,653","6,949","6,700","6,622","6,497","6,202","5,929","5,759","5,581","6,593"
Total Debt,0,0,0,0,"3,375","3,509","3,358","3,263","3,208","3,672","4,056","3,997","3,727","5,003","3,430","5,952","6,399","6,233","6,542","6,284","5,901","5,924","4,431","2,765","2,766","2,990","4,144","3,739","3,682","3,559","3,251","3,094","2,978","2,732","3,646"
Debt Growth,-,-,-,-,-,-,-,-,-4.94%,4.64%,20.79%,22.50%,16.17%,36.24%,-15.43%,48.92%,71.70%,24.60%,90.72%,5.57%,-7.77%,-4.96%,-32.27%,-56.00%,-53.12%,-49.53%,-6.50%,35.22%,33.11%,19.03%,-21.53%,-17.23%,-19.12%,-23.23%,12.15%
Common Stock,0,0,0,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
Retained Earnings,0,0,0,0,0,202.7,403,578.5,794.2,"1,038","1,350","1,583","1,854","2,057","3,553","3,676","3,810","3,977","4,129","4,099","4,188","4,373","5,547","5,617","5,757","5,882","6,024","6,226","6,375","6,540","6,742","6,891","7,075","7,269","7,506"
Comprehensive Income,99.5,7.4,-14.4,8.7,-0.8,-25.5,-145.8,-101.4,-55.3,-16.3,-7.6,29.5,-69.6,-92.8,-86.6,-69.4,-67.6,-119.6,-56.3,-193.6,-156.6,-91.7,-141.1,-174.8,-157.3,-192.1,-185,-223.9,-342.1,-453.7,-325.7,-312.3,-319.9,-365.8,-326.1
Shareholders' Equity,"5,229","5,252","5,180","5,258","2,369","2,556","2,688","2,888","3,170","3,474","3,790","4,092","5,625","5,830","6,596","6,851","7,012","7,152","7,387","7,242","7,395","7,676","8,964","9,009","9,205","9,318","9,512","9,561","9,444","9,391","9,683","9,870","9,966","10,078","10,319"
Total Liabilities and Equity,"7,356","7,337","7,211","7,213","7,787","8,133","8,190","8,234","8,467","9,327","10,501","10,655","11,986","13,863","12,906","15,656","16,468","16,660","17,439","16,932","16,706","17,200","16,052","14,279","14,496","14,976","16,466","16,266","16,071","15,893","15,891","15,805","15,731","15,664","16,912"
Net Cash / Debt,0,0,0,0,"-2,887.6","-2,784.3","-2,554.8","-2,445.1","-2,239.7","-2,761","-3,094.1","-2,981.2","-1,358.5","-3,857.4","-2,251.9","-2,223.2","-5,306.7","-5,172.6","-5,337.1","-5,243.4","-4,838.4","-4,435","-1,487.4","-1,465.2","-1,200.5","-2,151.6","-3,324.2","-3,054.4","-2,999.2","-2,853.6","-2,542.1","-2,421.6","-2,265.3","-2,017.9","-1,757.4"
Net Cash Per Share,-,-,-,-,-8.37,-7.97,-7.31,-6.96,-6.36,-7.82,-8.74,-8.41,-3.83,-10.86,-6.64,-6.55,-15.62,-15.22,-15.69,-15.42,-14.24,-13.01,-4.12,-4.29,-3.51,-5.94,-9.16,-8.29,-8.34,-7.97,-7.13,-6.79,-6.37,-5.67,-4.96
Working Capital,-,474.1,270.6,327.2,811.8,990.2,"1,022","1,116","1,331","1,316","1,335","1,618","2,205",-65.2,979.1,"3,157",645.1,549.6,221.6,"1,325",374,733.7,"1,586",326.1,516.7,-443.6,"-1,200",-113.9,-166,-144.2,-250.1,-174.8,-110.4,49.3,"1,331"
Book Value Per Share,15.15,15.21,15.06,15.23,6.86,7.39,7.76,8.32,9.13,9.99,10.89,11.74,16.11,16.66,19.71,20.44,20.89,21.28,21.96,21.50,21.92,22.74,26.52,26.61,27.12,25.96,26.47,26.61,26.43,26.44,27.37,27.91,28.23,28.62,29.37
