,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-04-01,2016-07-01,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-29,2017-12-31,2018-03-30,2018-06-29,2018-09-28,2018-12-31,2019-03-29,2019-06-28,2019-09-27,2019-12-31,2020-03-27,2020-06-26,2020-09-25,2020-12-31,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-29,2023-12-31
Dividends Paid,0,0,0,0,0,0,0,-24.2,-24.2,-24.2,-24.4,-24.2,-24.4,-24.3,-24.4,-42.1,-40.7,-40.7,-40.6,-23.5,-58,-23.5,-40.9,-40.8,-58.2,-41,-40.9,-25.2,-25.1,-25.1,-24.9,-24.8,-24.7,-24.7,-24.6,-24.6,0
Common Stock Issued,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
Share Repurchases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,539.2",0,0,0,0,0,0,0,0,0,0,0,0,-63.8,-179.1,-133.2,-66.8,0,-129.1,-78.8,0
Other Financing Activities,-382.4,-73.1,-262,-202.1,-297.7,-138,207.2,135.8,-152.8,-95.2,-56.3,465.1,383.3,-69.9,"1,097","1,298","-4,191.3","2,452",405.8,-187.9,295.9,-259.7,-404.3,9,122.3,-613.9,28,207.9,"1,162",-371.3,-404.5,-363.9,-476.7,-162.4,-358.8,-395.1,-
Financing Cash Flow,-382.4,-73.1,-262,-202.1,-297.7,-138,207.2,111.6,-177,-119.4,-80.7,440.9,358.9,-94.2,"1,073","1,256","-1,355.4","2,411",365.2,-211.4,237.9,-283.2,-445.2,-31.8,64.1,-654.9,-12.9,182.7,"1,137",-332.6,-250.3,-255.5,-434.6,-187.1,-254.3,-324.9,0
Net Cash Flow,0,0,0,0,0,0,207.2,237.6,78.4,14.4,150.8,-57.5,51.2,53.6,"1,353","-1,223.1",33.3,"2,551","-2,636.8",-31.6,144.7,-164.7,22.5,426.1,335.7,-525.2,266.2,-727.4,-19.1,-135,-1.4,22.4,3.9,-36.4,40,1.3,-34.1
Free Cash Flow,373.5,70.5,261.9,201.7,354.8,148.8,277.6,303,277.9,121.5,216.9,286.9,415,139.6,314.5,351.8,426.2,132.2,234.3,349.9,442.5,157.2,453.5,455,371,136.4,270.8,251.3,252.6,196,276.1,307.2,428.1,149.6,300,383.5,-34.1
Free Cash Flow Growth,-,-,-,-,-5.01%,111.06%,5.99%,50.22%,-21.67%,-18.35%,-21.87%,-5.31%,49.33%,14.90%,45.00%,22.62%,2.70%,-5.30%,-25.50%,-0.54%,3.82%,18.91%,93.56%,30.04%,-16.16%,-13.23%,-40.29%,-44.77%,-31.91%,43.70%,1.96%,22.24%,69.48%,-23.67%,8.66%,24.84%,-
Free Cash Flow Margin,22.13%,4.66%,16.74%,13.23%,22.72%,10.09%,17.85%,19.33%,17.08%,7.91%,13.32%,17.02%,22.97%,8.02%,16.95%,19.12%,24.25%,8.30%,12.57%,18.81%,22.10%,9.17%,28.86%,23.92%,28.00%,10.83%,20.52%,19.34%,18.37%,14.24%,18.87%,21.10%,27.98%,10.24%,19.65%,25.66%,-3.60%
Free Cash Flow Per Share,1.08,0.20,0.76,0.58,1.03,0.43,0.80,0.87,0.79,0.35,0.62,0.81,1.17,0.39,0.89,0.99,1.26,0.39,0.69,1.03,1.30,0.46,1.34,1.34,1.03,0.40,0.79,0.69,0.70,0.53,0.77,0.86,1.20,0.42,0.84,1.08,-0.10
