,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30
Income Tax,34,40,6,68,-35,-49,382,372,411,262,288,359,430,416,"-6,687",270,308,201,"-1,846",217,103,264,144,160,-51,308,252,136,670,143,-265,190,134,110,164,214,174,206,193
Net Income,127,172,163,276,-164,-123,645,896,950,842,908,893,"1,159",944,"7,945","1,003",754,619,"-12,568",405,449,899,182,378,"-1,651",597,"1,032",563,-27,733,-257,776,265,432,890,836,"1,000",262,757
Preferred Dividends,180,180,180,180,180,180,360,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income Common,-53,-8,-17,96,-344,-303,285,896,770,842,908,893,"1,159",944,"7,945","1,003",754,619,"-12,568",405,449,899,182,378,"-1,651",597,"1,032",563,-27,733,-257,776,265,432,890,836,"1,000",262,757
Net Income Growth,-,-,-,-,-,-,-,833.33%,-,-,218.60%,-0.33%,50.52%,12.11%,775.00%,12.32%,-34.94%,-34.43%,-,-59.62%,-40.45%,45.23%,-,-6.67%,-,-33.59%,467.03%,48.94%,-,22.78%,-,37.83%,-,-41.06%,-,7.73%,277.36%,-39.35%,-14.94%
Shares Outstanding (Basic),377,-,-,-,380,"1,213","1,213","1,215","1,216","1,218","1,217","1,217","1,218","1,218","1,218","1,219","1,219","1,219","1,219","1,219","1,220","1,220","1,221","1,221","1,222","1,223","1,223","1,223","1,223","1,223","1,225","1,224","1,224","1,225","1,225","1,225","1,227","1,228","1,227"
Shares Outstanding (Diluted),377,-,-,-,380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Change,-,-,-,-,0.80%,-,-,-,219.99%,0.40%,0.31%,0.16%,0.14%,0.05%,0.10%,0.14%,0.13%,0.08%,0.08%,0.05%,0.06%,0.06%,0.14%,0.16%,0.16%,0.21%,0.12%,0.15%,0.11%,0.07%,0.22%,0.05%,0.07%,0.17%,-0.03%,0.10%,0.27%,0.23%,0.13%
EPS (Basic),-0.14,-0.02,-0.05,0.26,-0.91,-0.27,0.53,0.74,0.63,0.69,0.75,0.73,0.95,0.78,6.52,0.82,0.62,0.51,-10.31,0.33,0.37,0.74,0.15,0.31,-1.35,0.49,0.84,0.46,-0.02,0.60,-0.21,0.63,0.22,0.35,0.73,0.68,0.81,0.21,0.62
EPS (Diluted),-0.14,-0.02,-0.05,0.24,-0.91,-0.27,0.53,0.73,0.63,0.69,0.73,0.73,0.94,0.77,6.47,0.82,0.62,0.50,-10.30,0.33,0.37,0.74,0.15,0.31,-1.35,0.49,0.84,0.46,-0.02,0.59,-0.21,0.63,0.21,0.35,0.72,0.68,0.81,0.21,0.61
EPS Growth,-,-,-,-,-,-,-,204.17%,-,-,37.74%,0%,49.21%,11.59%,786.30%,12.33%,-34.04%,-35.06%,-,-59.76%,-40.32%,48.00%,-,-6.06%,-,-33.78%,460.00%,48.39%,-,20.41%,-,36.96%,-,-40.68%,-,7.94%,285.71%,-40.00%,-15.28%
Free Cash Flow,-,392,615,-136,384,132,244,-459,844,-205,"1,221",-983,115,-72,247,185,-407,506,"1,464",55,822,532,"1,375",81,"1,877",971,"1,404",583,"1,015",195,"2,666",272,81,532,668,220,856,765,"1,122"
Free Cash Flow Per Share,-,-,-,-,1.01,0.11,0.20,-0.38,0.69,-0.17,1.00,-0.81,0.09,-0.06,0.20,0.15,-0.33,0.41,1.20,0.04,0.67,0.44,1.13,0.07,1.54,0.79,1.15,0.48,0.83,0.16,2.18,0.22,0.07,0.43,0.55,0.18,0.70,0.62,0.92
Dividend Per Share,-,-,-,-,-,0.550,1.150,0.575,0.575,0.600,0.600,0.600,0.600,0.625,0.625,0.625,0.625,0.625,0.625,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400
Dividend Growth,-,-,-,-,-,-,-,-,-,9.09%,-47.83%,4.35%,4.35%,4.17%,4.17%,4.17%,4.17%,0%,0%,-36.00%,-36.00%,-36.00%,-36.00%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Gross Margin,32.43%,29.57%,31.98%,34.18%,33.72%,26.60%,33.75%,36.19%,37.26%,35.39%,30.27%,34.77%,36.66%,35.08%,32.16%,35.91%,35.08%,32.81%,32.16%,33.75%,32.50%,32.04%,32.24%,30.18%,36.88%,36.39%,36.36%,34.42%,34.63%,32.07%,32.23%,31.94%,30.27%,28.33%,32.03%,32.56%,33.64%,34.02%,33.78%
Operating Margin,13.70%,15.77%,12.58%,20.54%,16.97%,6.52%,18.07%,23.03%,24.08%,22.55%,15.58%,22.66%,24.77%,24.49%,21.10%,23.79%,20.28%,16.83%,-205.14%,9.43%,11.46%,19.42%,9.09%,12.51%,-20.14%,17.81%,22.34%,17.03%,18.67%,18.28%,-0.30%,18.44%,8.27%,11.54%,16.61%,19.16%,20.47%,9.94%,18.95%
Profit Margin,-1.94%,-0.31%,-0.61%,3.87%,-13.15%,-4.95%,4.00%,13.64%,11.34%,13.44%,13.61%,14.12%,17.46%,15.03%,116.24%,15.91%,11.27%,9.70%,-182.38%,6.80%,7.01%,14.80%,2.78%,6.14%,-24.83%,9.27%,14.87%,8.81%,-0.41%,11.59%,-3.83%,12.84%,4.04%,6.64%,12.06%,12.88%,14.88%,3.99%,11.03%
Free Cash Flow Margin,-,15.11%,21.97%,-5.49%,14.68%,2.16%,3.43%,-6.99%,12.42%,-3.27%,18.31%,-15.54%,1.73%,-1.15%,3.61%,2.93%,-6.08%,7.93%,21.25%,0.92%,12.83%,8.76%,21.04%,1.32%,28.23%,15.08%,20.23%,9.12%,15.34%,3.08%,39.74%,4.50%,1.24%,8.18%,9.05%,3.39%,12.74%,11.64%,16.36%
Effective Tax Rate,21.12%,18.87%,3.55%,19.77%,-,-,37.20%,29.34%,30.20%,23.73%,24.08%,28.67%,27.06%,30.59%,-531.56%,21.21%,29.00%,24.51%,-,34.89%,18.66%,22.70%,44.17%,29.74%,-,34.03%,19.63%,19.46%,104.20%,16.32%,-,19.67%,33.58%,20.30%,15.56%,20.38%,14.82%,44.02%,20.32%
EBITDA,-,474,452,635,284,511,"1,631","1,880","1,982","1,705","1,833","1,827","2,151","1,939","1,807","1,817","1,613","1,396","-13,818","1,182","1,123","1,804",909,"1,091","-1,013","1,451","1,859","1,336","1,483","1,519",315,"1,428",869,999,"1,519","1,497","1,618",970,"1,430"
EBITDA Margin,-,18.27%,16.15%,25.63%,10.86%,8.35%,22.89%,28.61%,29.18%,27.21%,27.48%,28.89%,32.41%,30.88%,26.44%,28.82%,24.11%,21.87%,-200.52%,19.84%,17.53%,29.69%,13.91%,17.72%,-15.24%,22.53%,26.79%,20.89%,22.42%,24.02%,4.70%,23.62%,13.26%,15.36%,20.58%,23.07%,24.07%,14.76%,20.85%
Depreciation & Amortization,-,95,101,90,89,223,338,363,357,290,327,262,255,273,241,227,235,250,271,239,255,243,257,243,247,232,247,222,227,228,233,220,236,229,248,220,216,274,251
EBIT,329,379,351,545,195,288,"1,293","1,517","1,625","1,415","1,506","1,565","1,896","1,666","1,566","1,590","1,378","1,146","-14,089",943,868,"1,561",652,848,"-1,260","1,219","1,612","1,114","1,256","1,291",82,"1,208",633,770,"1,271","1,277","1,402",696,"1,179"
EBIT Margin,12.06%,14.61%,12.54%,21.99%,7.45%,4.71%,18.15%,23.09%,23.92%,22.58%,22.58%,24.75%,28.57%,26.53%,22.91%,25.22%,20.60%,17.95%,-204.46%,15.82%,13.55%,25.69%,9.98%,13.77%,-18.95%,18.93%,23.23%,17.42%,18.99%,20.41%,1.22%,19.98%,9.66%,11.84%,17.22%,19.68%,20.86%,10.59%,17.19%
