,symbol,name,currency,summary,category_group,category,family,exchange,market
1392,ACWIS.SW,UBS (Irl) Fund Solutions plc - MSCI ACWI SF UCITS ETF (hedged to CHF) A-acc,CHF,"The investment objective of the Fund is to deliver the net total return of the Reference Index (being MSCI
ACWI Net Total Return Index) which captures the large and mid cap representation of equities across
developed markets and emerging markets countries.",,,Lantern Structured Asset Management,EBS,ch_market
1393,ACWISD.SW,UBS (Irl) Fund Solutions plc - MSCI ACWI SF UCITS ETF (hedged to SGD) A-acc,SGD,"The investment objective of the Fund is to deliver the net total return of the Reference Index (being MSCI
ACWI Net Total Return Index) which captures the large and mid cap representation of equities across
developed markets and emerging markets countries.",,,Lantern Structured Asset Management,EBS,ch_market
1394,ACWIU.SW,UBS ETFs plc - MSCI ACWI SF UCITS ETF (hedged to USD) A-acc,USD,"The investment objective of the Fund is to deliver the net total return of the Reference Index (being MSCI
ACWI Net Total Return Index) which captures the large and mid cap representation of equities across
developed markets and emerging markets countries.",,,Lantern Structured Asset Management,EBS,ch_market
1397,ACWUKD.SW,UBS (Irl) Fund Solutions plc - MSCI ACWI SF UCITS ETF (USD) A-UKdis,USD,"The investment objective of the Fund is to deliver the net total return of the Reference Index (being MSCI
ACWI Net Total Return Index) which captures the large and mid cap representation of equities across
developed markets and emerging markets countries.",,,Lantern Structured Asset Management,EBS,ch_market
1406,ADOT.SW,21Shares Polkadot ETP,USD,,,,21Shares,EBS,ch_market
1417,AEEM.SW,Amundi Index Solutions - Amundi MSCI Emerging Markets,EUR,,,,Amundi Asset Management,EBS,ch_market
1538,AETH-EUR.SW,21Shares Ethereum ETP,EUR,,,,21Shares,EBS,ch_market
1539,AETH-USD.SW,21Shares Ethereum ETP,USD,,,,21Shares,EBS,ch_market
1540,AETH.SW,Amun Coin Market Cap Fund,CHF,,,,21Shares,EBS,ch_market
1565,AFLT.SW,Amundi Index Solutions - Amundi ETF Floating Rate USD Corporate,USD,"To track the performance of Markit iBoxx USD Liquid FRN Investment
Grade Corporates 100 Index, and to minimize the tracking error between
the net asset value of the sub-fund and the performance of the Index.",,,Amundi Asset Management,EBS,ch_market
1581,AGEB.SW,Amundi Index Solutions - Amundi Global Emerging Bond Markit iBoxx UCITS ETF,USD,,,,Amundi Asset Management,EBS,ch_market
1584,AGED.SW,iShares Ageing Population UCITS ETF USD (Acc),USD,The Fund seeks to track the performance of an index composed of developed and emerging market companies which are generating significant revenues from the growing needs of the world¡¯s ageing population (defined as people aged 60 years and above).,,,BlackRock Asset Management,EBS,ch_market
1591,AGGG.SW,iShares III Public Limited Company - iShares Global Aggregate Bond UCITS ETF,USD,,,,,EBS,ch_market
1593,AGGH.SW,iShares III Public Limited Company - iShares Global Aggregate Bond UCITS ETF,EUR,,,,,EBS,ch_market
1595,AGGS.SW,iShares Core Global Aggregate Bond UCITS ETF CHF Hedged(Acc),CHF,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays Global Aggregate Bond Index.",,,BlackRock Asset Management,EBS,ch_market
1597,AGGU.SW,iShares III Public Limited Company - iShares Global Aggregate Bond UCITS ETF,USD,,,,,EBS,ch_market
1718,AIAI.SW,L&amp;G Artificial Intelligence UCITS ETF,CHF,The investment objective of the L&G Artificial Intelligence UCITS ETF (the âFundâ) is to provide exposure to the global artificial intelligence technology industry.,,,LGIM Managers,EBS,ch_market
1743,AJEUAS.SW,UBS ETFs plc - MSCI AC Asia Ex Japan SF UCITS ETF (USD) A-acc,USD,"The investment seeks to replicate, net of expenses, the MSCI AC Asia ex Japan Index.
 The fund intends to invest in swaps and a portfolio of transferable securities or other eligible assets. The index is comprised of large and mid cap representation across 2 of 3 developed market countries (ex Japan) and 8 Emerging Markets countries in Asia.",,,Lantern Structured Asset Management,EBS,ch_market
1754,ALAT.SW,Amundi Index Solutions - Amundi MSCI Em Latin America UCITS ETF-C EUR,EUR,"To track the performance of MSCI Emerging Markets Latam Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",,,Amundi Asset Management,EBS,ch_market
1757,ALAU.SW,Amundi Index Solutions - Amundi MSCI Em Latin America UCITS ETF-C USD,USD,"To track the performance of MSCI Emerging Markets Latam Index, and to
minimize the tracking error between the net asset value of the sub-fund
and the performance of the Index.",,,Amundi Asset Management,EBS,ch_market
2088,ASRUSA.SW,UBS ETF - MSCI USA Socially Responsible UCITS ETF,USD,,,,,EBS,ch_market
2095,AT1C.SW,Invesco AT1 Capital Bond ETF CHF Hedged Acc,CHF,"The investment objective of the Fund is to achieve the performance of the iBoxx USD Contingent Convertible Liquid Developed Market AT1 (8/5% Issuer Cap) Index (the Reference Index) less fees, expenses and transaction costs.",,,Invesco Investment Management,EBS,ch_market
2098,AT1D.SW,Invesco AT1 Capital Bond ETF USD Dist,USD,"The investment objective of the Fund is to achieve the performance of the iBoxx USD Contingent Convertible Liquid Developed Market AT1 (8/5% Issuer Cap) Index (the Reference Index) less fees, expenses and transaction costs.",,,Invesco Investment Management,EBS,ch_market
2101,AT1S.SW,Invesco Markets II Plc - Invesco AT 1 Capital Bond UCITS ETF,GBP,"The investment objective of the Fund is to achieve the performance of the iBoxx USD Contingent Convertible Liquid Developed Market AT1 (8/5% Issuer Cap) Index (the Reference Index) less fees, expenses and transaction costs.",,,Invesco Investment Management,EBS,ch_market
2110,AUCHAH.SW,UBS ETF (CH) &#226;&#128;&#147; Gold (CHF) hedged (CHF) A-dis,CHF,"The investment seeks to track the price and yield performance, before fees and expenses, of physical gold prices.",,,UBS Asset Management,EBS,ch_market
2114,AUCO.SW,L&amp;G Gold Mining UCITS ETF,CHF,"The Fund is designed to track the performance of the DAXglobalÂ® Gold Miners (TR) USD. AUCO is an Exchange Traded Fund (""ETF"") which is tradable by investors on stock exchanges intraday and can be created and redeemed directly with the Issuer by Authorised Participants. AUCO is authorised and regulated as a UCITS and is eligible for investment by other UCITS. AUCO gains exposure to the performance of the DAXglobalÂ® Gold Miners (TR) USD through Total Return Swaps entered into with multiple counterparties participating on the UCITS ETF platform. Any exposure to the counterparties is collateralised on a daily basis. Details of the collateral held is available at: www. etfsecurities. com",,,LGIM Managers,EBS,ch_market
2119,AUEM.SW,Amundi Index Solutions - Amundi MSCI Emerging Markets,USD,"To track the performance of MSCI Emerging Markets Index (the ""Index""), and to minimize the tracking error between the net asset value of the sub-fund and the performance of the Index.",,,Amundi Asset Management,EBS,ch_market
2122,AUEUAH.SW,UBS ETF (CH) - Gold (EUR) hedged,EUR,,,,,EBS,ch_market
2126,AUHCHA.SW,UBS (Irl) ETF plc - MSCI Australia UCITS ETF (hedged to CHF) A-acc,CHF,"The UBS ETF â MSCI Australia UCITS ETF sub-fund aims to track, before expenses, the price and income performance of the MSCI Australia Index (Net Return) (this sub-fund&#39;s ""Index"").",,,UBS Asset Management,EBS,ch_market
2128,AUHEUA.SW,UBS (Irl) ETF plc - MSCI Australia UCITS ETF (hedged to EUR) A-acc,EUR,"The UBS ETF – MSCI Australia UCITS ETF sub-fund aims to track, before expenses, the price and income performance of the MSCI Australia Index (Net Return) (this sub-fund&#39;s ""Index"").",,,UBS Asset Management,EBS,ch_market
2129,AUHGBA.SW,UBS (Irl) ETF plc - MSCI Australia UCITS ETF (hedged to GBP) A-acc,GBP,"The UBS ETF – MSCI Australia UCITS ETF sub-fund aims to track, before expenses, the price and income performance of the MSCI Australia Index (Net Return) (this sub-fund&#39;s ""Index"").",,,UBS Asset Management,EBS,ch_market
2130,AUHUSA.SW,UBS (Irl) ETF plc - MSCI Australia UCITS ETF (hedged to USD) A-acc,USD,"The UBS ETF – MSCI Australia UCITS ETF sub-fund aims to track, before expenses, the price and income performance of the MSCI Australia Index (Net Return) (this sub-fund&#39;s ""Index"").",,,UBS Asset Management,EBS,ch_market
2137,AUSAUW-AUD.SW,UBSETF MSCI AUSTRALIA AUD ACC,AUD,,,,,EBS,ch_market
2139,AUSAUW.SW,UBS (Irl) ETF plc - MSCI Australia UCITS ETF (AUD) A-acc,CHF,"The UBS ETF â MSCI Australia UCITS ETF sub-fund aims to track, before expenses, the price and income performance of the MSCI Australia Index (Net Return) (this sub-fund&#39;s ""Index"").",,,UBS Asset Management,EBS,ch_market
2140,AUSAUY.SW,UBS (Irl) ETF plc - MSCI Australia UCITS ETF (AUD) A-dis,AUD,"The UBS ETF – MSCI Australia UCITS ETF sub-fund aims to track, before expenses, the price and income performance of the MSCI Australia Index (Net Return) (this sub-fund&#39;s ""Index"").",,,UBS Asset Management,EBS,ch_market
2144,AUTD.SW,Lyxor Index Fund - Lyxor Stoxx Europe 600 Automobiles & Parts UCITS ETF,CHF,,,,,EBS,ch_market
2146,AUUSI-USD.SW,UBSETF GOLD USD DIS,USD,,,,,EBS,ch_market
2147,AUUSI.SW,UBS ETF (CH) - Gold,CHF,,,,,EBS,ch_market
2267,AWESG.SW,UBS (Irl) ETF plc - MSCI ACWI ESG Universal UCITS ETF USD A Dis,CHF,The UBS (Irl) ETF plc â MSCI ACWI ESG Universal UCITS ETF sub-fund is an exchange traded fund incorporated in Ireland. The objective of this share class is to deliver the performance of the MSCI ACWI ESG Universal 5% Issuer Capped 100% hedged to USD (Net Return) and allow intraday trading.,,,UBS Asset Management,EBS,ch_market
2268,AWESGE.SW,UBS (Irl) ETF plc - MSCI ACWI ESG Universal UCITS ETF Hedged EUR A Acc,EUR,The UBS (Irl) ETF plc â MSCI ACWI ESG Universal UCITS ETF sub-fund is an exchange traded fund incorporated in Ireland. The objective of this share class is to deliver the performance of the MSCI ACWI ESG Universal 5% Issuer Capped 100% hedged to USD (Net Return) and allow intraday trading.,,,UBS Asset Management,EBS,ch_market
2269,AWESGG.SW,UBS (Irl) ETF plc - MSCI ACWI ESG Universal UCITS ETF Hedged to GBP A Acc,GBP,The UBS (Irl) ETF plc â MSCI ACWI ESG Universal UCITS ETF sub-fund is an exchange traded fund incorporated in Ireland. The objective of this share class is to deliver the performance of the MSCI ACWI ESG Universal 5% Issuer Capped 100% hedged to USD (Net Return) and allow intraday trading.,,,UBS Asset Management,EBS,ch_market
2270,AWESGJ.SW,UBS (Irl) ETF plc - MSCI ACWI ESG Universal UCITS ETF Hedged JPY A Acc,JPY,The UBS (Irl) ETF plc â MSCI ACWI ESG Universal UCITS ETF sub-fund is an exchange traded fund incorporated in Ireland. The objective of this share class is to deliver the performance of the MSCI ACWI ESG Universal 5% Issuer Capped 100% hedged to USD (Net Return) and allow intraday trading.,,,UBS Asset Management,EBS,ch_market
2271,AWESGS.SW,UBS (Irl) ETF plc - MSCI ACWI ESG Universal UCITS ETF Hedged CHF A Acc,CHF,The UBS (Irl) ETF plc â MSCI ACWI ESG Universal UCITS ETF sub-fund is an exchange traded fund incorporated in Ireland. The objective of this share class is to deliver the performance of the MSCI ACWI ESG Universal 5% Issuer Capped 100% hedged to USD (Net Return) and allow intraday trading.,,,UBS Asset Management,EBS,ch_market
2272,AWESGT.SW,UBS (Irl) ETF plc - MSCI ACWI ESG Universal UCITS ETF Hedged CHF A Dis,CHF,The UBS (Irl) ETF plc â MSCI ACWI ESG Universal UCITS ETF sub-fund is an exchange traded fund incorporated in Ireland. The objective of this share class is to deliver the performance of the MSCI ACWI ESG Universal 5% Issuer Capped 100% hedged to USD (Net Return) and allow intraday trading.,,,UBS Asset Management,EBS,ch_market
2273,AWESGW-USD.SW,UBSETF MSCI ACWI ESG H-USD ACC,USD,,,,,EBS,ch_market
2277,AWSRI-USD.SW,UBSETF MSCI ACWI SRI USD DIS,USD,,,,,EBS,ch_market
2278,AWSRI.SW,UBS (Irl) ETF plc - MSCI ACWI Socially Responsible UCITS ETF USD A Dis,CHF,The objective of the Fund is to seek to track the performance of the Index.,,,UBS Asset Management,EBS,ch_market
2280,AWSRIA.SW,UBS (Irl) ETF Public Limited Company - MSCI ACWI Socially Responsible UCITS ETF,USD,The objective of the Fund is to seek to track the performance of the MSCI ACWI SRI 5% Issuer Capped Index.,,,UBS Asset Management,EBS,ch_market
2282,AWSRIE.SW,UBS (Irl) ETF plc - MSCI ACWI Socially Responsible UCITS ETF Hedged EUR A Acc,EUR,The objective of the Fund is to seek to track the performance of the MSCI ACWI SRI 5% Issuer Capped Index.,,,UBS Asset Management,EBS,ch_market
2283,AWSRIH.SW,UBS (Irl) ETF plc - MSCI ACWI Socially Responsible UCITS ETF Hedged GBP A Dis,GBP,The objective of the Fund is to seek to track the performance of the MSCI ACWI SRI 5% Issuer Capped Index.,,,UBS Asset Management,EBS,ch_market
2284,AWSRIS.SW,UBS (Irl) ETF plc - MSCI ACWI Socially Responsible UCITS ETF Hedged CHF A Acc,CHF,The objective of the Fund is to seek to track the performance of the Index.,,,UBS Asset Management,EBS,ch_market
2285,AWSRIT.SW,UBS (Irl) ETF plc - MSCI ACWI Socially Responsible UCITS ETF Hedged CHF A Dis,CHF,The objective of the Fund is to seek to track the performance of the Index.,,,UBS Asset Management,EBS,ch_market
2286,AWSRIW-USD.SW,UBSETF MSCI ACWI SRI H-USD ACC,USD,,,,,EBS,ch_market
2399,AXLM.SW,21Shares Stellar ETP,USD,Track the performance of the crypto asset Stellar (XLM),,,21Shares,EBS,ch_market
2400,AXRP.SW,21Shares Ripple XRP ETP,USD,Track the performance of XRP,,,21Shares,EBS,ch_market
2401,AXTZ.SW,21Shares Tezos ETP,USD,This product seeks to track the performance of Tezos.,,,21Shares,EBS,ch_market
2606,BACK.SW,iShares IV Public Limited Company - iShares US Equity Buyback Achievers UCITS ETF,USD,,,,,EBS,ch_market
2627,BATT.SW,L&amp;G Battery Value-Chain UCITS ETF,CHF,"The objective of the fund is to provide exposure to basket of stocks of providers for electro-chemical energy storage technologies and mining companies that produce metals used to manufacture batteries. The tracked index uses a screening approach that picks battery providers mapped according to their technology type (lead-based, lithium-based, nickelbased and sodium-based), and lithium miners classified as current producers of lithium.",,,LGIM Managers,EBS,ch_market
2659,BBEG.SW,JPMorgan ETFs Ireland ICAV - BetaBuilders EUR Government Bond UCITS ETF,EUR,,,,,EBS,ch_market
2699,BBIL.SW,JPM BetaBuilders US Treasury Bond 0-1 yr UCITS ETF USD Acc,USD,The Sub-Fund seeks to provide an exposure to the performance of US Dollardenominated fixed rate government bonds issued by the US Treasury with a maturity of less than one year.,,,JPMorgan Asset Management,EBS,ch_market
2720,BBTP.SW,JPMorgan ETFs (Ireland) ICAV - BetaBuilders US Treasury Bond UCITS ETF,GBP,The objective of the Sub-Fund is to provide an exposure to the performance of US Dollar-denominated fixed rate government bonds issued by the US Treasury.,,,JPMorgan Asset Management,EBS,ch_market
2727,BBTR.SW,JPMorgan ETFs (Ireland) ICAV - BetaBuilders US Treasury Bond UCITS ETF,USD,,,,,EBS,ch_market
2734,BBUD.SW,JPMorgan ETFs Ireland ICAV - BetaBuilders US Equity UCITS ETF,USD,,,,,EBS,ch_market
2743,BBUS.SW,JPMorgan ETFs Ireland ICAV - BetaBuilders US Equity UCITS ETF,USD,,,,,EBS,ch_market
2747,BCCMA.SW,UBS ETFs plc - Bloomberg Commodity CMCI SF UCITS ETF (USD) A-acc,USD,The investment objective of the Fund is to deliver the return of the Reference Index (being UBS Bloomberg BCOM Constant Maturity Commodity Index Total Return).,,,Lantern Structured Asset Management,EBS,ch_market
2748,BCCME.SW,UBS ETFs plc - Bloomberg Commodity CMCI SF UCITS ETF (hedged to EUR) A-acc,EUR,The investment objective of the Fund is to deliver the return of the Reference Index (being UBS Bloomberg BCOM Constant Maturity Commodity Index Total Return).,,,Lantern Structured Asset Management,EBS,ch_market
2749,BCCMS.SW,UBS (Irl) Fund Solutions plc - Bloomberg Commodity CMCI SF UCITS ETF (hedged to CHF) A-acc,CHF,The investment objective of the Fund is to deliver the return of the Reference Index (being UBS Bloomberg BCOM Constant Maturity Commodity Index Total Return).,,,Lantern Structured Asset Management,EBS,ch_market
2756,BCHE.SW,Invesco Markets II PLC - Invesco Elwood Global Blockchain Ucits ETF,USD,,,,,EBS,ch_market
2844,BIOT.SW,L&amp;G Pharma Breakthrough UCITS ETF,CHF,"The objective of the fund is to provide exposure to a basket of stocks of companies that are actively engaged in the research, development and/or manufacturing of orphan drugs. The Index selects stocks that meet certain size and liquidity requirements using a two-fold approach that is primarily based on the trend in the valuation of a companyâs orphan drug portfolio and its overall revenue forecasts.",,,LGIM Managers,EBS,ch_market
2847,BITC.SW,CoinShares Physical Bitcoin (BTC),CHF,This product is designed to offer investors a means of investing in Bitcoin without having to acquire Bitcoin themselves and to enable investors to buy and sell exposure to Bitcoin by trading of a security on a regulated European stock exchange. The Digital Security is backed and secured by Bitcoin.,,,CoinShares,EBS,ch_market
2922,BNKD.SW,Lyxor Index Fund - Lyxor Stoxx Europe 600 Banks UCITS ETF,CHF,"The investment objective of Lyxor Index Fund - Lyxor Stoxx Europe 600 Banks UCITS ETF (the âSub-Fundâ) is to
track the upward and the downward evolution of the STOXXÂ® Europe 600 Banks Net Total Return index (the âIndexâ)
denominated in Euros and representative of the performance of shares in large companies in the banking sector in
European countries, while minimising the volatility of the difference between the return of the Sub-Fund and the return of
the Index.",,,Lyxor International Asset Management,EBS,ch_market
2932,BNKU.SW,Lyxor S&amp;P 500 Banks UCITS ETF USD Acc,CHF,"The investment objective of MULTI UNITS LUXEMBOURG -Lyxor S&P 500 BanksUCITS ETF (theâSub-Fundâ)is to track both the upward and the downward evolution of the S&P 500 Capped 35/20 Banks and Diversified Financials Select Index (NTR) (the âIndexâ) denominated in USD, representative of the performance of main US banks and investment servicescompanies, while minimizing the volatility of the difference between the return of the Sub-Fund and the return of the Index (the âTracking Errorâ).",,,Lyxor International Asset Management,EBS,ch_market
2966,BRIC.SW,iShares BRIC 50 UCITS ETF USD (Dist),USD,"The fund is an exchange traded fund (ETF) that aims to track the performance of the FTSE BRIC 50 as closely as possible.
The ETF invests in physical index securities. The FTSE BRIC 50 offers exposure to the 50 largest stocks measured by full market capitalisation, that trade as either depositary receipts (DRs) for Brazilian, Indian or Russian companies, or H shares for Chinese companies. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",,,BlackRock Asset Management,EBS,ch_market
2980,BRZ.SW,Amundi Index Solutions - Amundi ETF MSCI Brazil UCITS ETF,USD,"The objective of this Sub-Fund is to track the performance of MSCI Brazil Index (the ""Index""), and to minimize the tracking error between the net asset value of the sub-fund and the performance of the Index.",,,Amundi Asset Management,EBS,ch_market
3084,BTCA-EUR.SW,15 FiCAS Active Crypto ETP,EUR,,,,,EBS,ch_market
3085,BTCA-USD.SW,15 FiCAS Active Crypto ETP,USD,,,,,EBS,ch_market
3086,BTCA.SW,15 FiCAS Active Crypto ETP,CHF,The ETPs issued are non-equity linked securities replicating an actively managed digital assets investment strategy less a fee component. They do not bear interest and are not principal-protected. The value of the ETPs will depend on the performance of the actively managed portfolio of digital assets. The results are denominated in Swiss Francs (CHF),,,Bitcoin Capital,EBS,ch_market
3090,BTCE-GBP.SW,BTCetc - Bitcoin ETP,GBP,,,,,EBS,ch_market
3091,BTCE-USD.SW,BTCetc - Bitcoin ETP,USD,,,,,EBS,ch_market
3092,BTCE.SW,BTCetc - Bitcoin ETP,CHF,,,,,EBS,ch_market
3095,BTCW.SW,WisdomTree Bitcoin,EUR,"WisdomTree Bitcoin is a physically backed Exchange Traded Product (ETP) designed to offer shareholders a simple, secure and cost-efficient way to gain exposure to the price of Bitcoin. The ETP provides for easy investor access, tradability, transparency and institutional custody solutions within a robust physically backed structure.",,,WisdomTree Asset Management,EBS,ch_market
3101,BTEC.SW,iShares Nasdaq US Biotechnology UCITS ETF USD (Acc),USD,The Fund seeks to track the performance of the NASDAQ Biotechnology Index (Net Total Return) .,,,BlackRock Asset Management,EBS,ch_market
3140,BUOY.SW,Lyxor Index Fund - Lyxor $ Floating Rate Note UCITS ETF,CHF,,,,,EBS,ch_market
3144,BUYB.SW,Invesco Markets III plc - Invesco Global Buyback Achievers UCITS ETF,USD,,,,,EBS,ch_market
3428,C40.SW,Amundi Index Solutions - Amundi CAC 40,EUR,,,,Amundi Asset Management,EBS,ch_market
3430,C4DE.SW,Amundi Index Solutions - Amundi CAC 40,EUR,,,,Amundi Asset Management,EBS,ch_market
3445,C50.SW,Amundi Index Solutions - Amundi Euro Stoxx 50,EUR,,,,Amundi Asset Management,EBS,ch_market
3447,C50U.SW,Amundi Index Solutions - Amundi Euro Stoxx 50,USD,,,,Amundi Asset Management,EBS,ch_market
3518,C6E.SW,Amundi Index Solutions - Amundi Stoxx Europe 600,EUR,,,,Amundi Asset Management,EBS,ch_market
3604,CAHCHA.SW,UBS(Lux)Fund Solutions &#226;&#128;&#147; MSCI Canada UCITS ETF(hedged CHF)A-acc,CHF,"The sub-fund aims to track, before expenses, the price and income performance of the MSCI Canada Index (Net Return) (this sub-fund&#39;s ""Index""). Additionally currency hedged share classes aim to reduce the impact of currency fluctuations between their reference currency and the index currency by selling currency forwards at the one-month forward rate in accordance with the hedging methodology of the Index&#39;s currency-hedged index variant as referred to in relation to each hedged share class below.",,,UBS Asset Management,EBS,ch_market
3606,CAHEUA.SW,UBS ETF SICAV - MSCI Canada UCITS ETF,EUR,,,,,EBS,ch_market
3607,CAHGBA.SW,UBS ETF SICAV - MSCI Canada UCITS ETF,GBP,,,,,EBS,ch_market
3608,CAHGBD.SW,UBS ETF SICAV - MSCI Canada UCITS ETF,GBP,,,,,EBS,ch_market
3609,CAHSGA.SW,UBS(Lux)Fund Solutions &#226;&#128;&#147; MSCI Canada UCITS ETF(hedged SGD)A-acc,SGD,"The sub-fund aims to track, before expenses, the price and income performance of the MSCI Canada Index (Net Return) (this sub-fund&#39;s ""Index""). Additionally currency hedged share classes aim to reduce the impact of currency fluctuations between their reference currency and the index currency by selling currency forwards at the one-month forward rate in accordance with the hedging methodology of the Index&#39;s currency-hedged index variant as referred to in relation to each hedged share class below.",,,UBS Asset Management,EBS,ch_market
3610,CAHUSA.SW,UBS ETF SICAV - MSCI Canada UCITS ETF,USD,,,,,EBS,ch_market
3616,CANA.SW,UBS ETF SICAV - MSCI Canada UCITS ETF,CAD,,,,,EBS,ch_market
3618,CANCDA.SW,UBS(Lux)Fund Solutions &#226;&#128;&#147; MSCI Canada UCITS ETF(CAD)A-dis,CAD,"The sub-fund aims to track, before expenses, the price and income performance of the MSCI Canada Index (Net Return) (this sub-fund&#39;s ""Index""). Additionally currency hedged share classes aim to reduce the impact of currency fluctuations between their reference currency and the index currency by selling currency forwards at the one-month forward rate in accordance with the hedging methodology of the Index&#39;s currency-hedged index variant as referred to in relation to each hedged share class below.",,,UBS Asset Management,EBS,ch_market
