,symbol,name,currency,summary,category_group,category,family,exchange,market
2696,BBIG.TO,Horizons Global BBIG Technology ETF,CAD,"BBIG seeks to replicate, to the extent possible and net of expenses, the performance of an index that is designed to provide exposure to the performance of publicly-listed large-cap and mid-cap global equities in the following industries: secondary battery, biotechnology, internet and gaming. Currently, the ETF seeks to replicate the performance of the Solactive Global BBIG Index, net of expenses.",,,Horizons ETFs Management,TOR,ca_market
2768,BDEQ.TO,Black Diamond Global Equity Fund ETF,CAD,"The fundâs investment objectives are to provide unitholders with: (i) long-term capital growth, and (ii) current income. The fund will achieve its investment objectives by primarily investing in equity securities of companies anywhere in the world. The fund may also invest in other types of asset classes and securities that distribute, or may be expected to distribute, income. The fund will use leverage. The leverage may be created through the use of cash borrowings, short sales or derivative contracts. The fundâs leverage shall not exceed the limits on the use of leverage described in the âInvestment Strategiesâ section in this Simplified Prospectus or as otherwise permitted under applicable securities legislation. The fund will not change its fundamental investment objectives unless the consent of a majority of the fundâs unitholders has been obtained.",,,Purpose Investments,TOR,ca_market
2769,BDIV.TO,Brompton Global Dividend Growth ETF,CAD,The investment objectives of Brompton Global Dividend Growth ETF are to provide Unitholders with: (a) stable monthly cash distributions; (b) the opportunity for capital appreciation; and (c) lower overall volatility of portfolio returns than would otherwise be experienced by owning securities of global Dividend Growth Companies (as defined herein) directly. The Brompton ETF seeks to hedge substantially all of its direct foreign currency exposure back to the Canadian dollar.,,,Brompton Funds,TOR,ca_market
2770,BDOP.TO,Black Diamond Distressed Opportunities Fund ETF,CAD,"The fundâs investment objectives are to provide unitholders with long-term capital growth. The fund will focus on distressed investment opportunities and, specifically, securities which appear to be trading below their estimated intrinsic value. The fund will achieve its investment objectives by investing in a broad range of foreign equities, domestic equities and fixed income securities. The fund may also invest in other types of securities of fixed income securities, including convertible and high-yield bonds and government securities of emerging or other countries. The fund will use leverage.",,,Purpose Investments,TOR,ca_market
2810,BESG.TO,Invesco ESG Canadian Core Plus Bond ETF,CAD,"BESG seeks to provide investment returns through a combination of income and capital growth. This Invesco ETF invests, directly or indirectly, primarily in debt securities issued by Canadian federal, provincial or municipal governments and companies while integrating environmental, social and governance (ESG) criteria as part of the fundamental evaluation of investment opportunities.",,,Invesco Investment Management,TOR,ca_market
2813,BFIN-U.TO,Brompton North American Financials Dividend ETF,USD,,,,,TOR,ca_market
2814,BFIN.TO,Brompton North American Financials Dividend ETF,CAD,"The investment objectives of Brompton North American Financials Dividend ETF are to provide Unitholders with: (a) stable monthly cash distributions; (b) the opportunity for capital appreciation; and (c) lower overall volatility of portfolio returns than would otherwise be experienced by owning securities of North American Financial Services Companies directly. The Brompton ETF seeks to hedge substantially all of its direct foreign currency exposure back to the Canadian dollar. However, any exposure that the Brompton ETFâs assets allocable to the USD Units have to foreign currencies will not be hedged back to the Canadian dollar.",,,Brompton Funds,TOR,ca_market
2819,BGC.TO,Bristol Gate Concentrated Canadian Equity ETF,CAD,BGC seeks to generate long-term growth of income and capital by investing primarily in a concentrated portfolio of publicly-traded equity securities of Canadian companies that pay a dividend.,,,Bristol Gate Capital Partners,TOR,ca_market
2823,BGU-U.TO,Bristol Gate Concentrated US Equity ETF,USD,,,,,TOR,ca_market
2824,BGU.TO,Bristol Gate Concentrated US Equity ETF,CAD,BGU seeks to generate long-term growth of income and capital by investing primarily in a concentrated portfolio of publicly-traded equity securities of U.S. companies that pay a dividend.,,,Bristol Gate Capital Partners,TOR,ca_market
2828,BHAV.NE,PURPOSE BEHAVIOURAL OPPORTUNITI,CAD,,,,,NEO,ca_market
2846,BITC-U.TO,Ninepoint Bitcoin ETF,USD,,,,,TOR,ca_market
2848,BITI-U.TO,BetaPro Inverse Bitcoin ETF,USD,,,,,TOR,ca_market
2849,BITI.TO,BetaPro Inverse Bitcoin ETF,CAD,,,,,TOR,ca_market
2884,BLCK.TO,First Trust Indxx Innovative Transaction and Process ETF,CAD,"The First Trust ETF seeks to replicate, to the extent possible, the performance of an innovative transaction and process index. Currently, the First Trust ETF seeks to replicate, to the extent possible, the performance of the Indxx Blockchain Index (the âIndexâ) provided by Indxx, LLC (the âIndex Providerâ), net of expenses. The First Trust ETF will obtain exposure to the Index by investing in the First Trust Indxx Innovative Transaction & Process ETF (the âUnderlying Fundâ), a U.S.-listed index ETF which itself seeks to replicate or substantially replicate the performance of the Index. The Index includes securities of companies that are either actively using, investing in, developing or have products that are poised to benefit from blockchain technology and/or the potential for increased efficiency that it provides to various business processes. The Index seeks to include only companies that have devoted material resources to the use of blockchain technologies.",,,FT Portfolios,TOR,ca_market
2892,BLOV.TO,Brompton North American Low Volatility Dividend ETF,CAD,"The investment objectives of Brompton North American Low Volatility Dividend ETF are to provide Unitholders with: (a) stable monthly cash distributions; (b) the opportunity for capital appreciation; and (c) low overall volatility of portfolio returns by investing in a portfolio of North American large capitalization equity securities. The Brompton ETF seeks to hedge substantially all of its direct foreign currency exposure back to the Canadian dollar. However, any exposure that the Brompton ETFâs assets allocable to the USD Units have to foreign currencies will not be hedged.",,,Brompton Funds,TOR,ca_market
2908,BNC.TO,Purpose Canadian Financial Income Fund Series ETF,CAD,The fund seeks to provide shareholders with (i) long-term capital appreciation through investment in a portfolio of Canadian Banks (defined below) (up to 70% on an equal weighted basis) and Canadian Insurance Companies (defined below) (up to 30% on an equal weighted basis) and (ii) monthly distributions.,,,Purpose Investments,TOR,ca_market
2911,BND.TO,Purpose Global Bond Fund Series ETF,CAD,The Purpose Tactical Investment Grade Bond Fund is designed to achieve positive total returns without taking on additional risk. The Fund maximizes the risk/return trade-off by enhancing bonds yields while managing duration across a broad range of Canadian & U.S. investment grade fixed income securities.,,,Purpose Investments,TOR,ca_market
2955,BPRF-U.TO,Brompton Flaherty & Crumrine Investment Grade Preferred ETF,USD,,,,,TOR,ca_market
2956,BPRF.TO,Brompton Flaherty &amp; Crumrine Investment Grade Preferred ETF,CAD,"The investment objectives of Brompton Flaherty & Crumrine Investment Grade Preferred ETF are to provide Unitholders of the Brompton ETF with: (a) stable monthly cash distributions and (b) a stable net asset value. The Brompton ETF seeks to hedge substantially all of its direct foreign currency exposure back to the Canadian dollar. However, any exposure that Brompton ETFâs assets allocable to the USD Units have to foreign currencies will not be hedged back to the Canadian dollar.",,,Brompton Funds,TOR,ca_market
2960,BREA.TO,Brompton Global Real Assets Dividend ETF,CAD,"The investment objectives of the ETF are to provide unitholders with stable monthly cash distributions, and the opportunity for capital appreciation and lower overall volatility of portfolio returns than would otherwise be experienced by owning securities of global Real Asset Companies (as defined in the Prospectus) directly. The ETF seeks to hedge substantially all of its direct foreign currency exposure back to the Canadian dollar.",,,Brompton Funds,TOR,ca_market
3016,BSKT.TO,Manulife Smart Core Bond ETF,CAD,Manulife Smart Core Bond ETF seeks to earn the highest level of income consistent with the preservation of capital,,,Manulife Investment Management,TOR,ca_market
3087,BTCC-B.TO,Purpose Bitcoin ETF,CAD,,,,,TOR,ca_market
3088,BTCC-U.TO,Purpose Bitcoin ETF,USD,,,,,TOR,ca_market
3089,BTCC.TO,Purpose Bitcoin ETF CAD ETF Currency Hedged Units,CAD,"The Fund has been created to buy and hold substantially all of its assets in
long-term holdings of Bitcoin and seeks to provide holders of ETF Units
(âUnitholdersâ) with the opportunity for long-term capital appreciation.",,,Purpose Investments,TOR,ca_market
3093,BTCQ-U.TO,3iQ CoinShares Bitcoin ETF,USD,,,,CoinShares,TOR,ca_market
3094,BTCQ.TO,3iQ CoinShares Bitcoin ETF,CAD,,,,CoinShares,TOR,ca_market
3096,BTCX-B.TO,CI Galaxy Bitcoin ETF C$ Unhedged Series Units,CAD,"To achieve its investment objective, the ETF will invest directly in bitcoin and will utilize high-quality service providers in the digital assets sector (e.g., digital asset custodians, trading platforms and trading counterparties) in order to manage the assets of the ETF. For example, the ETFâs portfolio will be priced based on, and the ETFâs Net Asset Value will be calculated using, the Bloomberg Galaxy Bitcoin Index (âBTCâ). The BTC is designed to measure the performance of a single bitcoin traded in USD and is owned and administered by Bloomberg Index Services Limited and is co-branded with Galaxy Digital Capital Management LP, the Subadvisor of the ETF.",,,CI Investments,TOR,ca_market
3097,BTCX-U.TO,CI Galaxy Bitcoin ETF US$ SeriesUnits,USD,"To achieve its investment objective, the ETF will invest directly in bitcoin and will utilize high-quality service providers in the digital assets sector (e.g., digital asset custodians, trading platforms and trading counterparties) in order to manage the assets of the ETF. For example, the ETFâs portfolio will be priced based on, and the ETFâs Net Asset Value will be calculated using, the Bloomberg Galaxy Bitcoin Index (âBTCâ). The BTC is designed to measure the performance of a single bitcoin traded in USD and is owned and administered by Bloomberg Index Services Limited and is co-branded with Galaxy Digital Capital Management LP, the Subadvisor of the ETF.",,,CI Investments,TOR,ca_market
3150,BXF.TO,CI 1-5 Year Laddered Government Strip Bond Index ETF Common,CAD,"BXF has been designed to replicate, to the extent possible, the performance of a Canadian 1-5 year laddered government strip bond index, net of expenses. The current index is the FTSE Canada 1-5 Year Laddered Government Strip Bond IndexTM (the âIndexâ). BXF invests primarily in Strip Bonds, both coupons and residuals, derived from Canadian federal and provincial government bonds issued domestically in Canada and denominated in Canadian dollars.",,,CI Investments,TOR,ca_market
3596,CACB.TO,CIBC Active Investment Grade Corporate Bond ETF,CAD,"CIBC Active Investment Grade Corporate Bond ETF seeks to generate a high level of current income while preserving capital by investing primarily in bonds, debentures, notes and other debt instruments of Canadian issuers.",,,CIBC Asset Management,TOR,ca_market
3601,CAFR.TO,CIBC Active Investment Grade Floating Rate Bond ETF,CAD,CIBC Active Investment Grade Floating Rate Bond ETF seeks to generate current income while preserving capital by investing primarily in a portfolio of Canadian debt securities and by using interest rate derivatives that seek to mitigate the effect of interest rate fluctuations.,,,CIBC Asset Management,TOR,ca_market
3602,CAGG.TO,CI Yield Enhanced Canada Aggregate Bond Index ETF,CAD,"Each WisdomTree ETF seeks to track, to the extent possible, the price and yield
performance of the applicable Index, before fees and expenses. The investment strategy of
each WisdomTree ETF is to invest in and hold the Constituent Securities of the applicable
Index in the same proportion as they are reflected in the applicable Index or otherwise
invest in a manner intended to track the price and yield performance of the Index.",,,CI Investments,TOR,ca_market
3603,CAGS.TO,CI Yield Enhanced Canada Short-Term Aggregate Bond Index ETF,CAD,"Each WisdomTree ETF seeks to track, to the extent possible, the price and yield
performance of the applicable Index, before fees and expenses. The investment strategy of
each WisdomTree ETF is to invest in and hold the Constituent Securities of the applicable
Index in the same proportion as they are reflected in the applicable Index or otherwise
invest in a manner intended to track the price and yield performance of the Index.",,,CI Investments,TOR,ca_market
3612,CALL-U.TO,Evolve US Banks Enhanced Yield Fund UnHedged Units USD,USD,"CALL seeks to replicate, to the extent reasonably possible before fees and expenses, the performance of the Solactive Equal Weight US Bank Index Canadian Dollar Hedged, or any successor thereto, while mitigating downside risk. CALL invests primarily in the equity constituents of the Solactive Equal Weight US Bank Index Canadian Dollar Hedged, or any successor thereto, while writing covered call options on up to 33% of the portfolio securities, at the discretion of the Manager. The level of covered call option writing may vary based on market volatility and other factors.",,,Evolve Funds Group,TOR,ca_market
3613,CALL.TO,Evolve US Banks Enhanced Yield Fund Hedged Units,CAD,"CALL seeks to replicate, to the extent reasonably possible before fees and expenses, the performance of the Solactive Equal Weight US Bank Index Canadian Dollar Hedged, or any successor thereto, while mitigating downside risk. CALL invests primarily in the equity constituents of the Solactive Equal Weight US Bank Index Canadian Dollar Hedged, or any successor thereto, while writing covered call options on up to 33% of the portfolio securities, at the discretion of the Manager. The level of covered call option writing may vary based on market volatility and other factors.",,,Evolve Funds Group,TOR,ca_market
3632,CARS-B.TO,Evolve Automobile Innovation Index Fund - UnHedged Units,CAD,"CARS seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of the Solactive Future Cars Index Canadian Dollar Hedged, or any successor thereto. CARS invests primarily in equity securities of companies that are directly or indirectly involved in developing electric drivetrains, autonomous driving or network connected services for automobiles.",,,Evolve Funds Group,TOR,ca_market
3633,CARS.TO,Evolve Automobile Innovation Index Fund - Hedged Units,CAD,"CARS seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of the Solactive Future Cars Index Canadian Dollar Hedged, or any successor thereto. CARS invests primarily in equity securities of companies that are directly or indirectly involved in developing electric drivetrains, autonomous driving or network connected services for automobiles.",,,Evolve Funds Group,TOR,ca_market
3721,CBH.TO,iShares 1-10 Year Laddered Corporate Bond Index ETF Common Class,CAD,"CBH has been designed to replicate, to the extent possible, the performance of the FTSE Canada 1-10 Year Laddered Corporate Bond Index, net of expenses. Under normal market conditions, CBH will primarily invest in securities of one or more iShares ETFs and/or Canadian fixed income securities.",,,BlackRock Asset Management,TOR,ca_market
3742,CBND.TO,Manulife Smart Corporate Bond ETF,CAD,Manulife Smart Corporate Bond ETF seeks to earn the highest level of income consistent with the preservation of capital by investing primarily in a diversified portfolio of fixed income securities issued by Canadian corporations.,,,Manulife Investment Management,TOR,ca_market
3745,CBO.TO,iShares 1-5 Year Laddered Corporate Bond Index ETF Common Class,CAD,"CBO has been designed to replicate, to the extent possible, the performance of the FTSE Canada 1-5 Year Laddered Corporate Bond Index, net of expenses. Under normal market conditions, CBO will primarily invest in securities of one or more iShares ETFs and/or Canadian fixed income securities.",,,BlackRock Asset Management,TOR,ca_market
3836,CCBI.TO,CIBC Canadian Bond Index ETF,CAD,"Seeks to replicate, to the extent reasonably
possible and before fees and expenses, the
performance of a Canadian aggregate bond index
that measures the investment return of the
Canadian investment grade bond market.
Currently, this CIBC ETF seeks to track the
MorningstarÂ® Canada Core Bond Indexâ¢ (or any
successor thereto).",,,CIBC Asset Management,TOR,ca_market
3841,CCEI.TO,CIBC Canadian Equity Index ETF,CAD,"Seeks to replicate, to the extent reasonably
possible and before fees and expenses, the
performance of a broad Canadian equity market
index that measures the investment return of
publicly traded securities in the Canadian market.
Currently, this CIBC ETF seeks to track the
MorningstarÂ® Canada Domestic Indexâ¢ (or any
successor thereto).",,,CIBC Asset Management,TOR,ca_market
3846,CCNS.TO,CIBC Conservative Fixed Income Pool ETF,CAD,"The Pool will focus on generating regular income with the potential for modest long-term capital appreciation, by investing primarily in units of other mutual funds that invest in fixed income securities.",,,CIBC Asset Management,TOR,ca_market
3853,CCOR-U.TO,CI DoubleLine Core Plus Fixed Income US$ Fund ETF US$ Series,USD,The fundâs investment objective is to seek to maximize current income and total return by primarily investing in a portfolio of fixed income securities of any maturity across the global fixed income spectrum.,,,CI Investments,TOR,ca_market
3854,CCOR.TO,CI DoubleLine Core Plus Fixed Income US$ Fund ETF C$ Hedged Series,CAD,"""The fundâs investment objective is to seek to maximize current income and total return by primarily investing in a portfolio of fixed income securities of any maturity across the global fixed income spectrum.
Any change to the investment objective must be approved by a majority of the votes cast by unitholders at a meeting called to consider the change.""",,,CI Investments,TOR,ca_market
3855,CCRE.TO,CIBC Core Fixed Income Pool ETF,CAD,"The Pool will focus on generating regular income with the potential for modest long-term capital appreciation, by investing primarily in units of other mutual funds that invest in fixed income securities.",,,CIBC Asset Management,TOR,ca_market
3887,CDIV.TO,Manulife Smart Dividend ETF,CAD,Manulife Smart Dividend ETF seeks to provide a steady flow of income and long-term capital appreciation by investing primarily in a diversified portfolio of Canadian dividend paying securities.,,,Manulife Investment Management,TOR,ca_market
3889,CDLB-B.TO,CI DoubleLine Total Return Bond US$ Fund ETF C$ Unhedged Series,CAD,"""The fundâs investment objective is to seek to maximize total return by primarily investing in securitized investments and other fixed income securities issued by the U.S. government or other issuers.
Any change to the investment objective must be approved by a majority of the votes cast by unitholders at a meeting called to consider the change.""",,,CI Investments,TOR,ca_market
3890,CDLB-U.TO,CI DoubleLine Total Return Bond US$ Fund ETF US$ Series,USD,"""The fundâs investment objective is to seek to maximize total return by primarily investing in securitized investments and other fixed income securities issued by the U.S. government or other issuers.
Any change to the investment objective must be approved by a majority of the votes cast by unitholders at a meeting called to consider the change.""",,,CI Investments,TOR,ca_market
3891,CDLB.TO,CI DoubleLine Total Return Bond US$ Fund ETF C$ Hedged Series,CAD,"""The fundâs investment objective is to seek to maximize total return by primarily investing in securitized investments and other fixed income securities issued by the U.S. government or other issuers.
Any change to the investment objective must be approved by a majority of the votes cast by unitholders at a meeting called to consider the change.""",,,CI Investments,TOR,ca_market
3892,CDZ.TO,iShares S&amp;P/TSX Canadian Dividend Aristocrats Index ETF Common Class,CAD,"CDZ has been designed to replicate, to the extent possible, the performance of the S&P/TSX Canadian Dividend Aristocrats Index, net of expenses. Under normal market conditions, CDZ will primarily invest in securities of one or more iShares ETFs and/or Canadian equity securities.",,,BlackRock Asset Management,TOR,ca_market
4007,CESG-B.NE,CI First Asset MSCI World ESG Impact ETF,CAD,,,,CI Investments,NEO,ca_market
4009,CESG.NE,CI First Asset MSCI World ESG Impact ETF,CAD,,,,CI Investments,NEO,ca_market
4033,CEW.TO,iShares Equal Weight Banc &amp; Lifeco ETF Common Class,CAD,"CEWâs investment objective is to provide Unitholders with a diversified equal weighted investment in a portfolio (the âCEW Portfolioâ) of common shares of the largest Canadian banks and Canadian life insurance companies. Cash distributions on the Units of CEW are expected to be made monthly and will be derived from dividends received by CEW on the CEW Portfolio. Such distributions may also include capital gains and returns of capital. CEW will endeavour to provide holders of its Units with monthly cash distributions targeted to be $0.04167 per Unit (approximately $0.50 per annum). Unitholders will also participate in any potential appreciation in the CEW Portfolio. There can be no assurance that CEW will achieve its stated investment objective, including making distributions at its targeted rate. Currently, CEW is paying monthly cash distributions of $0.043 per Unit ($0.516 per annum).",,,BlackRock Asset Management,TOR,ca_market
4054,CFLX.TO,CIBC Flexible Yield ETF (CAD-Hedged),CAD,"CIBC Flexible Yield ETF (CAD-Hedged) seeks to generate long-term total return and current income by investing primarily in high yielding debt and investment grade fixed income securities of issuers located anywhere in the world. Exposure to these types of securities will be obtained by investing primarily in Renaissance Flexible Yield Fund (or its successor fund), and/or by investing directly in the securities.",,,CIBC Asset Management,TOR,ca_market
4116,CGAA.TO,CI Global Asset Allocation Private Pool ETF,CAD,"The CI First Asset ETFâs investment objective is to generate income and longterm capital growth by investing in a combination of equity and fixed-income
securities of countries and companies located anywhere in the world.",,,CI Investments,TOR,ca_market
4127,CGL-C.TO,iShares Gold Bullion ETF (Non-Hedged),CAD,"The investment objective of CGL is to replicate the performance of the price of gold bullion, less CGLâs fees and expenses. To achieve its investment objective, CGL invests in long-term holdings of unencumbered gold bullion, in 100 or 400 troy ounce international bar sizes.",,,BlackRock Asset Management,TOR,ca_market
4128,CGL.TO,iShares Gold Bullion ETF (CAD-Hedged),CAD,"The investment seeks to replicate, net of expenses, the price of gold bullion.
 The fund invests assets in holdings of unencumbered gold bullion, in 100 or 400 troy ounce international bar sizes, and will not speculate with regard to short-term changes in gold prices. It may also utilize forward contracts relating to the currency hedge.",,,BlackRock Asset Management,TOR,ca_market
4129,CGLO.TO,CIBC Global Growth ETF,CAD,"CIBC Global Growth ETF seeks to generate long-term capital growth by investing in a diversified portfolio consisting primarily of equity securities of companies located anywhere in the world. Exposure to these types of securities will be obtained by investing primarily in Renaissance Global Growth Fund (or its successor fund), and/or by investing directly in the securities.",,,CIBC Asset Management,TOR,ca_market
4130,CGR.TO,iShares Global Real Estate Index ETF Common Class,CAD,"CGR has been designed to replicate, to the extent possible, the performance of the Cohen & Steers Global Realty Majors Index, net of expenses. Under normal market conditions, CGR will primarily invest in securities of one or more iShares ETFs and/or equity securities issued by international issuers participating in the real estate sector.",,,BlackRock Asset Management,TOR,ca_market
4131,CGRA.TO,CI Global Real Asset Private Pool - ETF C$ Series,CAD,"The poolâs investment objective is to seek to provide regular income and capital appreciation by investing primarily in companies with direct or indirect exposure to real assets, such as infrastructure and residential and commercial real estate, located anywhere in the world.",,,CI Investments,TOR,ca_market
4132,CGRE.TO,CI Global REIT Private Pool - ETF C$ Series,CAD,The poolâs investment objective is to seek to provide regular income and capital appreciation by investing primarily in real estate income trusts (REITs) and equity securities of corporations participating in the residential and commercial real estate sector located anywhere in the world.,,,CI Investments,TOR,ca_market
4134,CGXF.TO,CI Gold+ Giants Covered Call ETF Common,CAD,"CGXFâs investment objective is to provide Unitholders, through an actively managed portfolio, with (i) quarterly cash distributions, (ii) the opportunity for capital appreciation by investing on an equal weight basis in a portfolio of securities of the 15 largest Gold and Precious Metals Companies measured by market capitalization listed on a North American stock exchange that have liquid options markets and (iii) lower overall volatility of returns on the portfolio than would be experienced by owning a portfolio of securities of such issuers directly.",,,CI Investments,TOR,ca_market
4142,CHB.TO,iShares U.S. High Yield Fixed Income Index ETF (CADHedged) Common Class,CAD,"CHB has been designed to replicate, to the extent possible, the performance of the Bloomberg Barclays US High Yield Very Liquid Index, net of expenses. Under normal market conditions, CHB will primarily invest in securities of one or more iShares ETFs and/or U.S. fixed income securities.",,,BlackRock Asset Management,TOR,ca_market
4178,CHNA-B.TO,CI ICBCCS S&amp;P China 500 Index ETF Non-Hedged,CAD,"The WisdomTree ICBCCS S&P China 500 Index ETF seeks to track, to the extent possible, the price and yield
performance of the S&P China 500 Index CAD, before fees and expenses. The investment strategy of the
WisdomTree ICBCCS S&P China 500 Index ETF is to invest in and hold the Constituent Securities of the S&P
China 500 Index CAD in the same proportion as they are reflected in the S&P China 500 Index CAD or otherwise
invest in a manner intended to track the price and yield performance of the Index (e.g., sampling). As an alternative
to or in conjunction with investing in and holding the Constituent Securities, WisdomTree ICBCCS S&P China 500
Index ETF may invest in or use certain other securities to obtain exposure to the price and yield performance of the
S&P China 500 Index CAD.",,,CI Investments,TOR,ca_market
4208,CIBR.TO,First Trust Nasdaq Cybersecurity ETF,CAD,,,,,TOR,ca_market
4210,CIC.TO,CI Canadian Banks Income Class ETF,CAD,"CICâs investment objective is to provide Shareholders with (i) quarterly distributions; (ii) the opportunity for capital appreciation; and (iii) lower overall volatility of portfolio returns than would be experienced by owning a portfolio of common shares of the Bank of Montreal, Canadian Imperial Bank of Commerce, National Bank of Canada, Royal Bank of Canada, The Bank of Nova Scotia and The Toronto-Dominion Bank (collectively, the âBanksâ) directly.",,,CI Investments,TOR,ca_market
4212,CIE.NE,iSHARES INTERNATIONAL FUNDAMENT,CAD,,,,,NEO,ca_market
4213,CIEI.TO,CIBC International Equity Index ETF,CAD,"Seeks to replicate, to the extent reasonably
possible and before fees and expenses, the
performance of a broad international equity
market index that measures the investment return
of publicly traded securities in Europe, Australasia
and the Far East. Currently, this CIBC ETF seeks to
track the MorningstarÂ® Developed Markets exNorth America Target Market Exposure Indexâ¢
(or any successor thereto).",,,CIBC Asset Management,TOR,ca_market
