,2014-03-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Share Issuance / Repurchase,-,-,-1.55,-4.69,-0.17,1.74,-0,-4.41,-52.99,-34.57,-0.59,-2.61,-11.34,-21.9,-18.48,-30.41,-20.56,2.32,-19.49,-4.99,-9.9,-2.47,0.85,-8.93,15.12,5.27,0.62,-8.96,-7.96,-3.92,-24.87,-23.46,-45.01,-83.99,-154.28,-7.47,1,-1.44
Debt Issued / Paid,-,-,12.57,66.75,143.5,488.42,-71.79,-16.08,-41.57,11.77,-29.5,6.13,-59.33,-28.03,-112.21,18.44,-51.35,-16.68,-62.5,27.86,-14.62,-61.71,21.97,-95.84,-46.33,680.94,-54.24,904.3,-186.96,-138.78,-206.37,-74.86,47.1,11.45,10.1,-159.65,520.67,-140.52
Other Financing Activities,-,-,-5.63,1.93,0.32,-0.95,0.43,-0.98,-,-0.35,-4.64,-1.92,-,-0.19,-3.39,-0.98,-,-0.85,-0.24,-1.66,-,5.21,-0.65,2.24,-0.02,-10.23,-9.15,-42.38,-1.23,-3.55,-0.32,-0.08,-0.07,-0.95,-1.16,-0.09,-0.09,-4.65
Financing Cash Flow,-,-,-8.33,50.23,128.67,474.22,-92.83,-43.01,-118.6,-46.98,-58.51,-22.25,-97.09,-76.47,-160.37,-39.21,-100.65,-43.95,-110.98,-7.61,-55.92,-90.35,-9.27,-134,-65.32,641.85,-96.91,818.81,-239.11,-189.27,-274.61,-141.41,-44.95,-120.41,-191.95,-213.64,470.21,-197.99
Exchange Rate Effect,-,-,-8.87,4.92,-8.06,-4.53,3.44,-8.08,-4.56,-9.3,3.28,8.41,7.81,1.5,3.28,-9.71,-0.59,-3.54,1.45,0.01,-6.12,7.24,-9.86,2.65,5.91,15.95,-4.66,1.54,-6.71,0.35,-1.47,-12.91,-19.02,14.35,2.71,-0.64,-4.93,7.5
Net Cash Flow,-,-,23.18,28.5,-34.01,69.17,17.48,-6.42,11.93,10.51,18.06,11.92,0.79,-11.78,-82.31,16.99,-8.6,14.99,-4.27,17.43,-12.53,-26.31,120.35,-63.95,56.4,-59.53,-31.97,314.24,-151.28,-24.41,-10.77,-31.99,-58.07,1.11,-51.01,0.26,5.14,-18.17
Free Cash Flow,-,-,52.35,17.66,21.92,-16.68,106.21,49.49,69.91,62.57,74.07,44.17,99.86,72.41,77.83,75.85,93.85,83.21,102.45,59.56,102.48,76.03,142.14,67.4,118.2,152.1,113.24,41.25,94.54,164.51,98.69,117.1,21.09,124.6,146.77,214.53,70.16,172.32
Free Cash Flow Growth,-,-,-,-,-,-,102.89%,180.16%,218.96%,-,-30.26%,-10.74%,42.84%,15.73%,5.08%,71.72%,-6.02%,14.92%,31.63%,-21.47%,9.19%,-8.63%,38.73%,13.16%,15.35%,100.07%,-20.33%,-38.80%,-20.02%,8.16%,-12.85%,183.90%,-77.69%,-24.26%,48.72%,83.20%,232.64%,38.30%
Free Cash Flow Margin,-,-,10.44%,4.02%,4.47%,-2.70%,15.39%,7.75%,10.82%,9.67%,10.87%,7.27%,15.75%,10.94%,10.87%,11.87%,13.82%,11.95%,13.34%,8.55%,13.91%,9.82%,17.27%,10.08%,15.63%,18.80%,12.96%,4.26%,7.90%,13.61%,8.15%,10.13%,1.76%,10.25%,10.60%,16.70%,5.23%,12.35%
Free Cash Flow Per Share,-,-,0.61,0.21,0.26,-0.19,1.24,0.57,0.81,0.73,0.87,0.52,1.17,0.85,0.92,0.90,1.11,0.98,1.21,0.70,1.21,0.90,1.68,0.79,1.39,1.78,1.33,0.48,0.95,1.65,0.99,1.17,0.21,1.25,1.48,2.17,0.71,1.74
