,2014-03-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Other Expense / Income,-,-0.42,-0.12,-0.46,-0.66,0.7,-0.42,-0.18,-0.5,0.11,-1.72,-1.21,-1.53,-0.56,-1.73,-0.08,-0.04,1.51,-3.39,0.42,-0.65,-1.64,0.08,-2.36,-1.04,-1.21,-2.27,21.39,3.67,-2.98,-1.59,0.26,0.58,1.4,-0.61,-1.16,-0.21,-1.88
Pretax Income,-,56.94,63.66,38.56,15.84,28.31,88.35,62.64,59.14,14.79,47.41,74.12,87.36,91.38,101.42,82.76,95.22,57.19,132.83,99.22,116.93,134.22,148.18,108.68,133.64,139.34,136.4,-28.88,89.79,182.94,71.67,135.46,-333.12,160.84,195.38,157.68,149.13,179.09
Income Tax,-,18.82,22.26,14.27,7.15,8.27,30.61,14.23,18.72,19.79,21.27,16.04,22.9,-3.4,27.82,12.77,17.76,9.33,24.41,14.63,22.17,29.29,24.81,19.08,27.78,24.84,48.96,-7.08,19.98,39.32,19.41,24.2,-17.83,37.01,8.16,34.12,33.81,38.34
Net Income,-,38.12,41.4,24.29,8.69,20.05,57.74,48.4,40.42,-5,26.14,58.08,64.46,94.78,73.6,69.99,77.46,47.86,108.42,84.59,94.77,104.93,123.37,89.6,105.86,114.5,87.44,-21.81,69.81,143.62,52.26,111.26,-315.29,123.83,187.23,123.55,115.32,140.74
Net Income Growth,-,-,-,-,-,-47.42%,39.47%,99.25%,365.25%,-,-54.72%,19.99%,59.49%,-,181.52%,20.51%,20.16%,-49.51%,47.31%,20.86%,22.35%,119.25%,13.79%,5.92%,11.70%,9.12%,-29.12%,-,-34.05%,25.43%,-40.23%,-,-,-13.78%,258.25%,11.05%,-,13.66%
Shares Outstanding (Basic),86,86,86,86,86,86,86,86,86,85,85,85,85,85,85,85,85,84,85,85,85,85,85,85,85,85,85,85,100,100,100,100,100,100,99,99,99,99
Shares Change,-,-,-,-,-,-,-,0.12%,0.29%,-0.81%,-1.12%,-1.14%,-1.07%,-0.17%,-0.10%,-0.48%,-0.80%,-0.65%,-0.31%,-0.09%,0.16%,0.34%,0.27%,0.45%,0.43%,0.64%,0.64%,0.53%,17.29%,17.23%,17.31%,17.23%,0.26%,-0.20%,-0.84%,-1.43%,-1.23%,-1.02%
EPS (Basic),-,0.64,0.69,0.41,0.15,0.26,0.76,0.56,0.47,-0.06,0.31,0.68,0.76,1.12,0.87,0.83,0.92,0.57,1.28,1.00,1.12,1.24,1.46,1.05,1.24,1.34,1.02,-0.24,0.70,1.44,0.52,1.11,-3.15,1.24,1.87,1.25,1.17,1.42
EPS (Diluted),-,0.63,0.69,0.40,0.14,0.26,0.76,0.56,0.47,-0.06,0.31,0.68,0.75,1.11,0.86,0.82,0.91,0.56,1.27,0.99,1.11,1.23,1.44,1.05,1.23,1.33,1.02,-0.24,0.69,1.42,0.51,1.10,-3.15,1.24,1.87,1.25,1.16,1.42
EPS Growth,-,-,-,-,-,-58.73%,10.14%,40.00%,235.71%,-,-59.21%,21.43%,59.57%,-,177.42%,20.59%,21.33%,-49.55%,47.67%,20.73%,21.98%,119.64%,13.39%,6.06%,10.81%,8.13%,-29.17%,-,-43.90%,6.77%,-50.00%,-,-,-12.68%,266.67%,13.64%,-,14.52%
Free Cash Flow,-,-,52.35,17.66,21.92,-16.68,106.21,49.49,69.91,62.57,74.07,44.17,99.86,72.41,77.83,75.85,93.85,83.21,102.45,59.56,102.48,76.03,142.14,67.4,118.2,152.1,113.24,41.25,94.54,164.51,98.69,117.1,21.09,124.6,146.77,214.53,70.16,172.32
Free Cash Flow Per Share,-,-,0.61,0.21,0.26,-0.19,1.24,0.57,0.81,0.73,0.87,0.52,1.17,0.85,0.92,0.90,1.11,0.98,1.21,0.70,1.21,0.90,1.68,0.79,1.39,1.78,1.33,0.48,0.95,1.65,0.99,1.17,0.21,1.25,1.48,2.17,0.71,1.74
Dividend Per Share,-,-,-,-,-,-,0.250,0.250,0.280,0.280,0.280,0.280,0.310,0.310,0.310,0.310,0.340,0.340,0.340,0.340,0.370,0.370,0.370,0.370,0.400,0.400,0.400,0.400,0.430,0.430,0.430,0.430,0.470,0.470,0.470,0.470,0.520,0.520
Dividend Growth,-,-,-,-,-,-,-,-,-,-,12.00%,12.00%,10.71%,10.71%,10.71%,10.71%,9.68%,9.68%,9.68%,9.68%,8.82%,8.82%,8.82%,8.82%,8.11%,8.11%,8.11%,8.11%,7.50%,7.50%,7.50%,7.50%,9.30%,9.30%,9.30%,9.30%,10.64%,10.64%
Gross Margin,-,41.66%,42.47%,41.85%,42.73%,38.50%,38.23%,37.59%,38.35%,39.83%,41.21%,42.07%,42.01%,42.03%,40.83%,42.12%,41.93%,41.22%,43.51%,43.89%,43.25%,42.80%,44.25%,42.96%,43.65%,42.76%,43.48%,44.02%,40.13%,44.51%,47.21%,44.77%,44.34%,42.89%,42.46%,44.64%,44.22%,43.18%
Operating Margin,-,12.96%,13.61%,10.05%,4.63%,7.55%,14.39%,11.52%,10.76%,4.00%,8.40%,14.04%,15.54%,15.60%,15.74%,14.78%,15.70%,9.99%,18.28%,15.80%,17.20%,18.39%,19.18%,17.31%,18.68%,18.18%,16.51%,1.48%,9.73%,16.79%,7.59%,13.70%,-25.52%,15.69%,16.28%,14.70%,13.85%,15.49%
Profit Margin,-,8.06%,8.25%,5.52%,1.77%,3.24%,8.36%,7.58%,6.25%,-0.77%,3.84%,9.55%,10.16%,14.32%,10.28%,10.96%,11.41%,6.87%,14.11%,12.14%,12.86%,13.55%,14.99%,13.39%,14.00%,14.15%,10.01%,-2.25%,5.83%,11.88%,4.32%,9.62%,-26.26%,10.18%,13.52%,9.62%,8.59%,10.08%
Free Cash Flow Margin,-,-,10.44%,4.02%,4.47%,-2.70%,15.39%,7.75%,10.82%,9.67%,10.87%,7.27%,15.75%,10.94%,10.87%,11.87%,13.82%,11.95%,13.34%,8.55%,13.91%,9.82%,17.27%,10.08%,15.63%,18.80%,12.96%,4.26%,7.90%,13.61%,8.15%,10.13%,1.76%,10.25%,10.60%,16.70%,5.23%,12.35%
Effective Tax Rate,-,33.05%,34.97%,37.00%,45.16%,29.20%,34.65%,22.73%,31.66%,133.77%,44.86%,21.64%,26.22%,-3.73%,27.43%,15.43%,18.66%,16.32%,18.38%,14.75%,18.96%,21.82%,16.74%,17.56%,20.79%,17.83%,35.89%,-,22.25%,21.49%,27.08%,17.86%,-,23.01%,4.17%,21.64%,22.67%,21.41%
EBITDA,-,-,90.5,67.03,47.07,90.85,152.56,127.49,120.14,57.16,111.86,130.23,145.59,148.49,158.92,141.36,152.73,150.76,194.09,156.77,177.01,193.59,208.7,167.13,196.72,205.06,205.57,76.55,230.87,323.52,327.28,297,-173.11,327.35,368.22,327.96,338.32,358.66
EBITDA Margin,-,-,18.04%,15.24%,9.61%,14.68%,22.10%,19.97%,18.59%,8.84%,16.42%,21.42%,22.96%,22.43%,22.20%,22.13%,22.49%,21.65%,25.27%,22.50%,24.02%,25.00%,25.36%,24.98%,26.02%,25.35%,23.53%,7.90%,19.29%,26.76%,27.03%,25.68%,-14.42%,26.92%,26.59%,25.53%,25.20%,25.70%
Depreciation & Amortization,-,-,22.1,22.35,23.75,44.83,52.82,53.78,50.08,31.38,52.9,43.65,45.55,44.66,44.48,46.85,46.12,82.69,50.26,47.1,49.63,49.56,50.94,48.95,54.42,56.82,59.04,83.62,118.04,117.61,233.83,138.86,133.88,137.95,142.2,137.93,152.25,140.63
EBIT,-,61.76,68.4,44.68,23.33,46.02,99.75,73.71,70.06,25.77,58.96,86.58,100.05,103.84,114.44,94.5,106.61,68.07,143.83,109.67,127.38,144.03,157.76,118.17,142.3,148.24,146.53,-7.07,112.83,205.91,93.45,158.13,-306.99,189.4,226.02,190.04,186.07,218.03
EBIT Margin,-,13.05%,13.63%,10.16%,4.76%,7.44%,14.45%,11.55%,10.84%,3.99%,8.66%,14.24%,15.78%,15.69%,15.98%,14.79%,15.70%,9.78%,18.72%,15.74%,17.29%,18.60%,19.17%,17.67%,18.82%,18.33%,16.77%,-0.73%,9.43%,17.03%,7.72%,13.67%,-25.57%,15.58%,16.32%,14.79%,13.86%,15.62%
