,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Total Assets,"116,129","109,648","108,683","110,102","43,922","43,235","42,397","42,978","42,180","41,690","42,649","42,549","41,496","41,122","42,344","42,633","40,906","40,651","42,618","45,500","44,189","43,110","42,996"
Accounts Payable,"3,629","3,642","3,798","3,120","3,139","3,014","3,702","3,021","2,891","2,994","3,615","3,098","3,070","3,512","4,126","3,685","3,567","4,140","4,895","3,957","3,379","3,678","4,280"
Deferred Revenue,0,0,0,0,0,0,0,"1,996",431,402,"2,662","2,247",748,692,"3,201","2,435",740,860,"3,388","2,712",656,552,"3,406"
Current Debt,"3,715","4,371","2,154","3,201","2,058","3,604",7,"1,996","1,529","2,142",3,"1,250",677,"1,372",17,"1,018",712,"1,576",24,"3,787","3,023","3,609",198
Other Current Liabilities,"5,705","5,229","7,358","7,757","3,417","2,375","4,529","2,186","2,678","2,196","2,268","2,404","2,757","2,229","2,214","2,515","2,837","2,342","2,437","2,775","3,288","2,509","2,525"
Total Current Liabilities,"13,049","13,242","13,310","14,078","8,614","8,993","8,238","9,199","7,529","7,734","8,548","8,999","7,252","7,805","9,558","9,653","7,856","8,918","10,744","13,231","10,346","10,348","10,409"
Long-Term Debt,"9,736","10,215","5,784","6,297",117,116,115,614,"1,102","1,102","1,102","1,102","1,101","1,101","1,100","1,154","1,283","1,277","1,283","1,241","2,290","2,290","2,291"
Other Long-Term Liabilities,"15,641","14,192","14,436","14,653","9,124","8,865","9,489","9,086","8,748","8,508","7,936","7,670","7,518","7,237","6,063","5,890","5,696","5,372","5,050","5,189","5,092","5,005","5,017"
Total Long-Term Liabilities,"25,377","24,407","20,220","20,950","9,241","8,981","9,604","9,700","9,850","9,610","9,038","8,772","8,619","8,338","7,163","7,044","6,979","6,649","6,333","6,430","7,382","7,295","7,308"
Total Liabilities,"38,426","37,649","33,530","35,028","17,855","17,974","17,842","18,899","17,379","17,344","17,586","17,771","15,871","16,143","16,721","16,697","14,835","15,567","17,077","19,661","17,728","17,643","17,717"
Total Debt,"13,451","14,586","7,938","9,498","2,175","3,720",122,"2,610","2,631","3,244","1,105","2,352","1,778","2,473","1,117","2,172","1,995","2,853","1,307","5,028","5,313","5,899","2,489"
Debt Growth,-,-,-,-,-83.83%,-74.50%,-98.46%,-72.52%,20.97%,-12.80%,805.74%,-9.89%,-32.42%,-23.77%,1.09%,-7.65%,12.20%,15.37%,17.01%,131.49%,166.32%,106.76%,90.44%
Common Stock,"79,390","73,767","78,020","78,005","28,088","28,079","28,004","27,913","27,898","27,902","27,714","27,637","27,689","27,719","27,758","27,767","27,802","27,822","27,858","27,851","27,884","27,902","27,755"
Retained Earnings,0,0,0,-,97,-397,-425,-155,508,0,0,268,941,666,524,750,"1,252",614,250,487,"1,013",325,-41
Comprehensive Income,"-2,185","-2,271","-3,360","-3,434","-2,375","-2,667","-3,270","-3,933","-3,845","-3,796","-2,890","-3,367","-3,245","-3,645","-2,898","-2,821","-3,223","-3,592","-2,806","-2,739","-2,677","-3,001","-2,677"
Shareholders' Equity,"77,205","71,496","74,660","74,571","25,810","25,015","24,309","23,825","24,561","24,106","24,824","24,538","25,385","24,740","25,384","25,696","25,831","24,844","25,302","25,599","26,220","25,226","25,037"
Net Cash / Debt,"-10,706","-12,787","-5,663","-7,734",-92,"-1,623","1,647",-637,238,-324,"2,690",166,"1,122",409,"3,428",149,660,-535,"2,008","-3,297","-2,697","-3,537",253
Net Cash / Debt Growth,-,-,-,-,-,-,-,-,-,-,63.33%,-,371.43%,-,27.43%,-10.24%,-41.18%,-,-41.42%,-,-,-,-87.40%
Working Capital,"11,592","10,098","9,662","9,983","5,831","5,124","5,281","5,480","6,893","6,354","6,220","6,037","7,033","6,341","5,988","6,225","6,908","6,127","6,051","5,098","6,861","5,985","5,851"
Book Value Per Share,103.11,95.48,99.71,99.59,34.47,33.40,32.48,31.79,32.82,32.20,33.32,32.98,34.44,33.70,34.83,35.34,35.69,34.57,35.41,35.91,36.88,35.54,35.53
